Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;3497;78;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;2;1;86400000;true;true;3274;77;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;3;1;86400000;true;true;3423;73;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;4;1;86400000;true;true;2994;71;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;5;1;86400000;true;true;3268;76;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;6;1;86400000;true;true;3354;77;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;7;1;86400000;true;true;3229;74;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;8;1;86400000;true;true;3283;73;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;9;1;86400000;true;true;3296;73;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;10;1;86400000;true;true;3271;73;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;3111;78;2;1.0;629860;1.0;0;0.6018;0.6018;0.62142;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;2;1;86400000;true;true;3103;73;2;1.0;629860;1.0;0;0.54311;0.54311;0.62395;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;3;1;86400000;true;true;2929;74;2;1.0;629860;1.0;0;0.59653;0.59653;0.62353;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;4;1;86400000;true;true;3029;73;2;1.0;629860;1.0;0;0.58884;0.58884;0.62165;-1;-1;-1;-1;-1
