Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;2904;44;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;2;1;86400000;true;true;2736;43;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;3;1;86400000;true;true;2848;45;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;4;1;86400000;true;true;2662;46;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;5;1;86400000;true;true;2862;40;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;6;1;86400000;true;true;2681;48;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;7;1;86400000;true;true;2729;41;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;8;1;86400000;true;true;2659;42;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;9;1;86400000;true;true;2640;41;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-08-01_06-53-03;594;1837;10;1;86400000;true;true;2647;41;2;1.0;682494;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;2539;42;2;1.0;629860;1.0;0;0.53156;0.53156;0.60579;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;2;1;86400000;true;true;2641;42;2;1.0;629860;1.0;0;0.55633;0.55633;0.60399;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;3;1;86400000;true;true;2605;40;2;1.0;629860;1.0;0;0.4687;0.4687;0.60743;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;4;1;86400000;true;true;2463;41;2;1.0;629860;1.0;0;0.47652;0.47652;0.61576;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;5;1;86400000;true;true;2571;42;2;1.0;629860;1.0;0;0.55917;0.55917;0.61192;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;6;1;86400000;true;true;2531;41;2;1.0;629860;1.0;0;0.43748;0.43748;0.61975;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;7;1;86400000;true;true;2605;41;2;1.0;629860;1.0;0;0.58318;0.58318;0.60637;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;8;1;86400000;true;true;2582;44;2;1.0;629860;1.0;0;0.56112;0.56112;0.60627;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;9;1;86400000;true;true;2663;42;2;1.0;629860;1.0;0;0.5634;0.5634;0.60369;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2009-01-01_17-52-09;572;1742;10;1;86400000;true;true;2564;43;2;1.0;629860;1.0;0;0.56308;0.56308;0.62108;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;2;BusyBox_2008-11-01_00-10-51;561;1704;1;1;86400000;true;true;2597;42;2;1.0;605407;1.0;0;0.5859;0.5859;0.61019;-1;-1;-1;-1;-1
