Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;1;1;600000;true;true;9369;35;2;1;638857;1;-1;-1;-1;-1;6.84672;98.45408;3061;0.10584;0.02646
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;2;1;600000;true;true;9129;35;2;1;638857;1;-1;-1;-1;-1;6.54789;98.1007;3061;0.12436;0.03109
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;3;1;600000;true;true;8907;35;2;1;638857;1;-1;-1;-1;-1;6.34027;98.24049;3061;0.11156;0.02789
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;4;1;600000;true;true;9010;35;2;1;638857;1;-1;-1;-1;-1;6.63844;98.43617;3061;0.10381;0.02595
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;5;1;600000;true;true;8799;35;2;1;638857;1;-1;-1;-1;-1;6.5097;97.89387;5115;0.1371;0.02742
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;6;1;600000;true;true;9090;35;2;1;638857;1;-1;-1;-1;-1;6.47526;97.93935;3061;0.13343;0.03336
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;7;1;600000;true;true;8973;35;2;1;638857;1;-1;-1;-1;-1;6.491;97.97263;3061;0.1316;0.0329
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;8;1;600000;true;true;10011;35;2;1;638857;1;-1;-1;-1;-1;7.49037;98.49233;3061;0.11293;0.02823
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;9;1;600000;true;true;9250;35;2;1;638857;1;-1;-1;-1;-1;7.09536;97.88489;5118;0.15007;0.03001
Joshua Sprey;ICPL_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;10;1;600000;true;true;10161;35;2;1;638857;1;-1;-1;-1;-1;7.74539;98.51963;3061;0.11466;0.02867
