Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;1;1;600000;true;true;4410;73;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;2;1;600000;true;true;4722;69;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;3;1;600000;true;true;4509;71;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;4;1;600000;true;true;4412;70;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;5;1;600000;true;true;4129;72;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;6;1;600000;true;true;4445;81;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;7;1;600000;true;true;4430;74;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;8;1;600000;true;true;4238;69;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;9;1;600000;true;true;4523;75;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;10;1;600000;true;true;4327;73;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;1;1;600000;true;true;4905;75;2;1;764224;1;0;0.58293;0.58293;0.62101;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;2;1;600000;true;true;5177;70;2;1;764224;1;0;0.58855;0.58855;0.62388;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;3;1;600000;true;true;5253;73;2;1;764224;1;0;0.57961;0.57961;0.61982;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;4;1;600000;true;true;5189;79;2;1;764224;1;0;0.53172;0.53172;0.62102;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;5;1;600000;true;true;5397;72;2;1;764224;1;0;0.59149;0.59149;0.61837;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;6;1;600000;true;true;5040;75;2;1;764224;1;0;0.51271;0.51271;0.61917;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;7;1;600000;true;true;5424;77;2;1;764224;1;0;0.57521;0.57521;0.62087;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;8;1;600000;true;true;5132;70;2;1;764224;1;0;0.58709;0.58709;0.62039;0.031;0;500;0.031;0.031
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;9;1;600000;true;true;5312;71;2;1;764224;1;0;0.53064;0.53064;0.61965;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;BusyBox_2010-04-01_15-09-44;628;1948;10;1;600000;true;true;5186;72;2;1;764224;1;0;0.57765;0.57765;0.61872;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;1;1;600000;true;true;4604;65;2;1;661641;1;0;0.46416;0.46416;0.62184;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;2;1;600000;true;true;4520;72;2;1;661641;1;0;0.58593;0.58593;0.62403;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;3;1;600000;true;true;4567;75;2;1;661641;1;0;0.58891;0.58891;0.62163;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;4;1;600000;true;true;4725;74;2;1;661641;1;0;0.53114;0.53114;0.62143;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;5;1;600000;true;true;4491;72;2;1;661641;1;0;0.60577;0.60577;0.62435;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;6;1;600000;true;true;4707;65;2;1;661641;1;0;0.45735;0.45735;0.62193;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;7;1;600000;true;true;4534;73;2;1;661641;1;0;0.54224;0.54224;0.62086;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;8;1;600000;true;true;4591;74;2;1;661641;1;0;0.57313;0.57313;0.6238;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;9;1;600000;true;true;4827;71;2;1;661641;1;0;0.60068;0.60068;0.62153;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;BusyBox_2009-07-02_12-04-50;585;1808;10;1;600000;true;true;4833;74;2;1;661641;1;0;0.58585;0.58585;0.62113;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;BusyBox_2008-10-02_13-30-31;556;1689;1;1;600000;true;true;4111;70;2;1;594455;1;0;0.5589;0.5589;0.62344;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;BusyBox_2008-10-02_13-30-31;556;1689;2;1;600000;true;true;3989;73;2;1;594455;1;0;0.59215;0.59215;0.61912;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;BusyBox_2008-10-02_13-30-31;556;1689;3;1;600000;true;true;3903;68;2;1;594455;1;0;0.49525;0.49525;0.62077;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;BusyBox_2008-10-02_13-30-31;556;1689;4;1;600000;true;true;4370;74;2;1;594455;1;0;0.59923;0.59923;0.62208;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;BusyBox_2008-10-02_13-30-31;556;1689;5;1;600000;true;true;3911;74;2;1;594455;1;0;0.58561;0.58561;0.62174;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;BusyBox_2008-10-02_13-30-31;556;1689;6;1;600000;true;true;3966;71;2;1;594455;1;0;0.55133;0.55133;0.62234;-1;-1;-1;-1;-1
