Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;1;1;600000;true;true;5175;43;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;2;1;600000;true;true;5037;44;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;3;1;600000;true;true;5238;42;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;4;1;600000;true;true;5086;43;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;5;1;600000;true;true;5138;41;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;6;1;600000;true;true;5194;47;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;7;1;600000;true;true;5168;41;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;8;1;600000;true;true;5081;45;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;9;1;600000;true;true;5261;42;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;BusyBox_2009-02-01_00-40-45;575;1764;10;1;600000;true;true;4986;41;2;1;638857;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;1;1;600000;true;true;5672;43;2;1;764224;1;0;0.58111;0.58111;0.61888;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;2;1;600000;true;true;5805;45;2;1;764224;1;0;0.57378;0.57378;0.61543;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;3;1;600000;true;true;5769;41;2;1;764224;1;0;0.5501;0.5501;0.60981;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;4;1;600000;true;true;5353;43;2;1;764224;1;0;0.5757;0.5757;0.60159;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;5;1;600000;true;true;5883;42;2;1;764224;1;0;0.56881;0.56881;0.60172;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;6;1;600000;true;true;5340;43;2;1;764224;1;0;0.49147;0.49147;0.60975;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;BusyBox_2010-04-01_15-09-44;628;1948;7;1;600000;true;true;5345;44;2;1;764224;1;0;0.545;0.545;0.60947;-1;-1;-1;-1;-1
