Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m10;0;BusyBox_2009-02-01_00-40-45;575;1188;1;1;600000;true;true;22498;37;2;1;638857;1;-1;-1;-1;-1;-1;99.41771;2039;0.06717;0.03358
Joshua Sprey;YASA_t2_m10;1;BusyBox_2010-04-01_15-09-44;628;1319;1;1;600000;true;true;22033;35;2;1;764224;1;0;0.52536;0.52536;0.63003;-1;99.62499;2038;0.04093;0.02047
Joshua Sprey;YASA_t2_m10;2;BusyBox_2009-07-02_12-04-50;585;1222;1;1;600000;true;true;21058;36;2;1;661641;1;0;0.57438;0.57438;0.61531;-1;99.51084;2038;0.0511;0.02555
Joshua Sprey;YASA_t2_m10;3;BusyBox_2008-10-02_13-30-31;556;1132;1;1;600000;true;true;20996;36;2;1;594455;1;0;0.5783;0.5783;0.6107;-1;99.69914;2038;0.03666;0.01833
Joshua Sprey;YASA_t2_m10;4;BusyBox_2008-05-02_09-19-29;537;1103;1;1;600000;true;true;20286;38;2;1;560124;1;0;0.55896;0.55896;0.61331;-1;0;1010;0.02629;0.02629
Joshua Sprey;YASA_t2_m10;5;BusyBox_2008-06-01_10-10-22;543;1129;1;1;600000;true;true;19964;36;2;1;572865;1;0;0.53681;0.53681;0.6293;-1;0;1010;0.04167;0.04167
Joshua Sprey;YASA_t2_m10;6;BusyBox_2009-04-01_11-24-04;575;1190;1;1;600000;true;true;21069;39;2;1;638856;1;0;0.55846;0.55846;0.62044;-1;99.68939;2038;0.03648;0.01824
Joshua Sprey;YASA_t2_m10;7;BusyBox_2010-02-01_04-55-30;619;1298;1;1;600000;true;true;22763;34;2;1;742142;1;0;0.44324;0.44324;0.61574;-1;99.66463;2038;0.03373;0.01686
Joshua Sprey;YASA_t2_m10;8;BusyBox_2007-08-01_23-30-54;459;945;1;1;600000;true;true;17881;32;2;1;407160;1;0;0.50832;0.50832;0.59983;-1;0;1010;0.02697;0.02697
Joshua Sprey;YASA_t2_m10;9;BusyBox_2010-05-02_14-17-07;631;1312;1;1;600000;true;true;22635;38;2;1;771658;1;0;0.50689;0.50689;0.63121;-1;99.64709;2038;0.0334;0.0167
