Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;132816;35;2;1.0;682494;1.0;-1;-1;-1;-1;128.98748;99.57578;66913;0.5472;0.00855
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;2;1;86400000;true;true;140786;35;2;1.0;682494;1.0;-1;-1;-1;-1;136.56652;99.58655;66908;0.56463;0.00882
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;3;1;86400000;true;true;139934;35;2;1.0;682494;1.0;-1;-1;-1;-1;136.04046;99.58084;67108;0.57022;0.00891
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;4;1;86400000;true;true;145426;35;2;1.0;682494;1.0;-1;-1;-1;-1;142.89159;99.57352;67516;0.6094;0.01129
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;5;1;86400000;true;true;139535;35;2;1.0;682494;1.0;-1;-1;-1;-1;135.41438;99.54594;66933;0.61486;0.00976
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;6;1;86400000;true;true;140900;35;2;1.0;682494;1.0;-1;-1;-1;-1;136.84947;99.60156;67039;0.54527;0.00866
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;7;1;86400000;true;true;135421;35;2;1.0;682494;1.0;-1;-1;-1;-1;131.61154;99.58285;66869;0.54902;0.00871
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;8;1;86400000;true;true;137848;35;2;1.0;682494;1.0;-1;-1;-1;-1;133.68412;99.60019;66893;0.53448;0.00848
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;9;1;86400000;true;true;134966;35;2;1.0;682494;1.0;-1;-1;-1;-1;133.98107;99.59367;67921;0.54441;0.00864
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;10;1;86400000;true;true;143982;35;2;1.0;682494;1.0;-1;-1;-1;-1;141.0132;99.59649;67289;0.569;0.00889
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;122293;36;2;1.0;629860;1.0;0.02778;0.71932;0.7269;0.78576;119.69015;99.5622;61607;0.52401;0.00919
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;2;1;86400000;true;true;130136;36;2;1.0;629860;1.0;0.02778;0.71613;0.7238;0.78597;128.22453;99.58338;61913;0.53421;0.00921
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;3;1;86400000;true;true;120950;36;2;1.0;629860;1.0;0.02778;0.71848;0.72609;0.78543;119.83184;99.56962;62138;0.51573;0.00874
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;4;1;86400000;true;true;119294;36;2;1.0;629860;1.0;0.02778;0.71235;0.72012;0.78525;118.21438;99.56749;62129;0.51129;0.00867
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;5;1;86400000;true;true;126935;36;2;1.0;629860;1.0;0.02778;0.7189;0.7265;0.78546;125.79583;99.59162;62135;0.51372;0.00871
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;6;1;86400000;true;true;128419;36;2;1.0;629860;1.0;0.02778;0.71839;0.726;0.7855;127.55287;99.52926;62206;0.60044;0.01001
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;7;1;86400000;true;true;126734;36;2;1.0;629860;1.0;0.02778;0.71696;0.72461;0.7855;125.6182;99.53743;62128;0.58107;0.00985
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;8;1;86400000;true;true;125113;36;2;1.0;629860;1.0;0.02778;0.71142;0.71922;0.78548;123.90102;99.53853;62118;0.57177;0.00969
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;9;1;86400000;true;true;125828;36;2;1.0;629860;1.0;0.02778;0.71442;0.72214;0.786;124.73491;99.57381;62138;0.53161;0.00901
Joshua Sprey;Chvatal_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;10;1;86400000;true;true;128342;36;2;1.0;629860;1.0;0.02778;0.71955;0.72713;0.78534;127.20189;99.58435;62146;0.52871;0.00896
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;1;1;86400000;true;true;116773;36;2;1.0;605407;1.0;0.02778;0.73997;0.747;0.79932;115.66649;99.51657;58524;0.55917;0.00999
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;2;1;86400000;true;true;113741;36;2;1.0;605407;1.0;0.02778;0.73321;0.74042;0.79944;109.39845;99.55327;57270;0.48872;0.01527
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;3;1;86400000;true;true;115931;36;2;1.0;605407;1.0;0.02778;0.73465;0.74182;0.79994;114.00166;99.56577;58284;0.49503;0.009
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;4;1;86400000;true;true;120282;36;2;1.0;605407;1.0;0.02778;0.73594;0.74308;0.79939;118.56912;99.5395;58287;0.54601;0.00993
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;5;1;86400000;true;true;116591;36;2;1.0;605407;1.0;0.02778;0.73906;0.74611;0.79987;115.6191;99.52618;58517;0.54783;0.00978
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;6;1;86400000;true;true;110846;36;2;1.0;605407;1.0;0.02778;0.73681;0.74392;0.7997;109.88525;99.55313;58546;0.49104;0.00877
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;7;1;86400000;true;true;116304;36;2;1.0;605407;1.0;0.02778;0.73311;0.74033;0.79973;114.62687;99.57251;58248;0.49001;0.00891
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;8;1;86400000;true;true;121197;36;2;1.0;605407;1.0;0.05556;0.73647;0.75034;0.80037;120.30044;99.57633;58538;0.50968;0.0091
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;9;1;86400000;true;true;113783;36;2;1.0;605407;1.0;0.02778;0.72726;0.73463;0.79941;112.36552;99.51001;58371;0.55058;0.01001
Joshua Sprey;Chvatal_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;10;1;86400000;true;true;114467;36;2;1.0;605407;1.0;0.02778;0.72995;0.73725;0.80025;112.65457;99.51315;58257;0.54846;0.00997
Joshua Sprey;Chvatal_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;1;1;86400000;true;true;59798;34;2;1.0;373624;1.0;0;0.62656;0.62656;0.767;58.73365;99.55858;26808;0.25926;0.0096
Joshua Sprey;Chvatal_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;2;1;86400000;true;true;59330;34;2;1.0;373624;1.0;0;0.62674;0.62674;0.76697;58.27883;99.53674;26820;0.26998;0.01
Joshua Sprey;Chvatal_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;3;1;86400000;true;true;62270;34;2;1.0;373624;1.0;0;0.62405;0.62405;0.76727;61.10829;99.58962;26800;0.25077;0.00929
Joshua Sprey;Chvatal_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;4;1;86400000;true;true;58488;34;2;1.0;373624;1.0;0;0.62342;0.62342;0.76707;57.44592;99.54497;26832;0.2614;0.00968
Joshua Sprey;Chvatal_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;5;1;86400000;true;true;60655;34;2;1.0;373624;1.0;0;0.62109;0.62109;0.7668;59.5283;99.56811;26804;0.2571;0.00952
