Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;6805;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.99269;96.06171;935;0.19663;0.02458
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;2;1;86400000;true;true;6850;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.25093;95.20357;681;0.20389;0.02913
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;3;1;86400000;true;true;7011;37;2;1.0;682494;1.0;-1;-1;-1;-1;5.36728;95.7078;923;0.23037;0.0288
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;4;1;86400000;true;true;6855;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.31369;95.85288;688;0.17889;0.02556
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;5;1;86400000;true;true;7060;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.4181;95.00003;698;0.2209;0.03156
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;6;1;86400000;true;true;7070;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.59914;95.60972;684;0.20191;0.02884
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;7;1;86400000;true;true;6715;37;2;1.0;682494;1.0;-1;-1;-1;-1;5.08891;95.81541;906;0.21295;0.02662
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;8;1;86400000;true;true;7043;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.41899;95.54298;695;0.19695;0.02814
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;9;1;86400000;true;true;6558;37;2;1.0;682494;1.0;-1;-1;-1;-1;4.19866;95.26339;687;0.19887;0.02841
Joshua Sprey;ICPL_t2;0;BusyBox_2009-08-01_06-53-03;594;1837;10;1;86400000;true;true;7976;37;2;1.0;682494;1.0;-1;-1;-1;-1;5.39448;96.56439;697;0.18533;0.02648
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;6974;36;2;1.0;629860;1.0;0.02703;0.68181;0.68997;0.78872;4.99164;96.54935;695;0.17224;0.02461
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;2;1;86400000;true;true;6625;36;2;1.0;629860;1.0;0.08108;0.67298;0.6969;0.78901;4.33932;96.1594;700;0.16666;0.02381
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;3;1;86400000;true;true;6398;36;2;1.0;629860;1.0;0.02703;0.67206;0.68047;0.78788;4.43103;95.76446;693;0.18768;0.02681
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;4;1;86400000;true;true;6501;36;2;1.0;629860;1.0;0.02703;0.67647;0.68477;0.78804;4.4222;95.5507;693;0.19676;0.02811
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;5;1;86400000;true;true;6460;36;2;1.0;629860;1.0;0.02703;0.68237;0.69052;0.78797;4.60618;96.06394;698;0.1813;0.0259
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;6;1;86400000;true;true;6350;36;2;1.0;629860;1.0;0.02703;0.68189;0.69005;0.78801;4.21456;95.79806;713;0.17709;0.0253
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;7;1;86400000;true;true;6548;36;2;1.0;629860;1.0;0.02703;0.68753;0.69554;0.78776;4.45524;96.15347;701;0.17137;0.02448
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;8;1;86400000;true;true;6488;36;2;1.0;629860;1.0;0.02703;0.67118;0.67961;0.78774;4.55084;96.23474;705;0.17135;0.02448
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;9;1;86400000;true;true;6598;36;2;1.0;629860;1.0;0.02703;0.6763;0.6846;0.78806;4.51769;95.61081;697;0.19829;0.02833
Joshua Sprey;ICPL_t2;1;BusyBox_2009-01-01_17-52-09;572;1742;10;1;86400000;true;true;6790;36;2;1.0;629860;1.0;0.02703;0.68788;0.69589;0.78769;4.85289;96.34218;699;0.17751;0.02536
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;1;1;86400000;true;true;5942;37;2;1.0;605407;1.0;0.02703;0.72277;0.73007;0.79497;3.99027;95.69593;701;0.17174;0.02453
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;2;1;86400000;true;true;6324;37;2;1.0;605407;1.0;0.02703;0.72137;0.72871;0.79492;4.89171;96.70032;1157;0.16141;0.02306
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;3;1;86400000;true;true;6495;37;2;1.0;605407;1.0;0.02703;0.72287;0.73016;0.7953;4.46188;96.1035;702;0.17386;0.02484
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;4;1;86400000;true;true;6421;37;2;1.0;605407;1.0;0.02703;0.72502;0.73225;0.79492;4.46577;96.42935;705;0.15946;0.02278
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;5;1;86400000;true;true;6351;37;2;1.0;605407;1.0;0.02703;0.72679;0.73398;0.79563;4.42961;96.12968;710;0.17144;0.02449
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;6;1;86400000;true;true;6214;37;2;1.0;605407;1.0;0.02703;0.72109;0.72843;0.79506;4.28453;96.18827;707;0.16332;0.02333
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;7;1;86400000;true;true;6732;37;2;1.0;605407;1.0;0.02703;0.72133;0.72866;0.79483;5.13842;96.41974;810;0.18397;0.02628
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;8;1;86400000;true;true;6303;37;2;1.0;605407;1.0;0.05405;0.72894;0.74284;0.79618;4.25432;95.73273;703;0.18154;0.02593
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;9;1;86400000;true;true;6991;37;2;1.0;605407;1.0;0.02703;0.72656;0.73375;0.79511;4.15853;95.79989;521;0.17466;0.02911
Joshua Sprey;ICPL_t2;2;BusyBox_2008-11-01_00-10-51;561;1704;10;1;86400000;true;true;6045;37;2;1.0;605407;1.0;0.02703;0.72175;0.72907;0.79518;4.12659;95.76064;709;0.17494;0.02499
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;1;1;86400000;true;true;5079;36;2;1.0;373624;1.0;0;0.66171;0.66171;0.77419;3.47376;97.97821;532;0.07023;0.01171
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;2;1;86400000;true;true;4744;36;2;1.0;373624;1.0;0;0.65637;0.65637;0.77387;3.09999;97.55822;550;0.07569;0.01262
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;3;1;86400000;true;true;4659;36;2;1.0;373624;1.0;0;0.66247;0.66247;0.7751;2.95923;96.8607;547;0.0929;0.01548
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;4;1;86400000;true;true;4444;36;2;1.0;373624;1.0;0;0.65879;0.65879;0.77496;2.79505;97.26678;541;0.07639;0.01273
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;5;1;86400000;true;true;4550;36;2;1.0;373624;1.0;0;0.66413;0.66413;0.77433;2.82226;97.15462;541;0.0803;0.01338
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;6;1;86400000;true;true;4676;36;2;1.0;373624;1.0;0;0.65292;0.65292;0.77398;2.89612;96.98469;534;0.08733;0.01455
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;7;1;86400000;true;true;4323;36;2;1.0;373624;1.0;0;0.66215;0.66215;0.77405;2.67784;96.43407;542;0.09549;0.01592
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;8;1;86400000;true;true;4609;36;2;1.0;373624;1.0;0;0.65691;0.65691;0.77405;2.851;97.05805;534;0.08388;0.01398
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;9;1;86400000;true;true;4766;36;2;1.0;373624;1.0;0;0.66982;0.66982;0.77412;2.8979;97.17979;536;0.08173;0.01362
Joshua Sprey;ICPL_t2;3;BusyBox_2007-06-01_14-40-03;439;1342;10;1;86400000;true;true;4828;36;2;1.0;373624;1.0;0;0.66005;0.66005;0.77412;3.16312;96.9416;546;0.09674;0.01612
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;1;1;86400000;true;true;4759;33;2;1.0;399973;1.0;0.02778;0.58794;0.59824;0.7649;2.96475;96.60606;541;0.10062;0.01677
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;2;1;86400000;true;true;5005;33;2;1.0;399973;1.0;0.02778;0.58907;0.59934;0.7656;3.26864;96.80264;532;0.10451;0.01742
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;3;1;86400000;true;true;4864;33;2;1.0;399973;1.0;0.02778;0.59746;0.60753;0.76582;2.94836;96.65577;525;0.0986;0.01643
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;4;1;86400000;true;true;4582;33;2;1.0;399973;1.0;0.02778;0.58732;0.59764;0.76557;2.86947;95.81288;558;0.12015;0.02002
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;5;1;86400000;true;true;4809;33;2;1.0;399973;1.0;0.02778;0.58168;0.59214;0.76547;3.03152;96.14118;541;0.11698;0.0195
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;6;1;86400000;true;true;4721;33;2;1.0;399973;1.0;0.02778;0.58535;0.59571;0.76582;2.93049;96.57972;542;0.10023;0.01671
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;7;1;86400000;true;true;4636;33;2;1.0;399973;1.0;0.02778;0.59842;0.60846;0.76566;2.95222;95.87063;549;0.12191;0.02032
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;8;1;86400000;true;true;4649;33;2;1.0;399973;1.0;0.02778;0.60721;0.61703;0.7656;2.91421;94.93211;565;0.14769;0.02461
Joshua Sprey;ICPL_t2;4;BusyBox_2007-07-01_14-53-06;454;1389;9;1;86400000;true;true;4855;33;2;1.0;399973;1.0;0.02778;0.59093;0.60115;0.7663;3.07256;96.69022;531;0.1017;0.01695
