Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;5624735;3194;2;1;741579;1;-1;-1;-1;-1;5618.00228;99.66338;1158799;18.91111;0.01466
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;5276913;3194;2;1;741579;1;-1;-1;-1;-1;5266.69194;99.64406;1158689;18.74625;0.01473
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;4908819;3194;2;1;741579;1;-1;-1;-1;-1;4903.04291;99.63084;1158580;18.10026;0.01399
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;4913150;3194;2;1;741579;1;-1;-1;-1;-1;4908.18421;99.60557;1158839;19.35956;0.01438
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;5021489;3194;2;1;741579;1;-1;-1;-1;-1;5012.75297;99.61692;1159719;19.20272;0.01438
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;1786779;3197;2;1;741579;1;-1;-1;-1;-1;1782.02648;99.83086;341529;3.01415;0.00683
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;1779583;3197;2;1;741579;1;-1;-1;-1;-1;1775.81373;99.86039;517506;2.47929;0.00721
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;1783769;3197;2;1;741579;1;-1;-1;-1;-1;1782.37182;99.8211;338256;3.18859;0.00756
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;1767819;3197;2;1;741579;1;-1;-1;-1;-1;1762.92015;99.82239;335135;3.13119;0.00633
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;1760609;3197;2;1;741579;1;-1;-1;-1;-1;1755.70658;99.82905;328334;3.00146;0.00619
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;1821794;3441;2;1;741579;1;-1;-1;-1;-1;1809.18972;99.68469;154624;5.7045;0.02397
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;1670483;3433;2;1;741579;1;-1;-1;-1;-1;1664.76329;99.65726;157254;5.70573;0.02358
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;1759505;3444;2;1;741579;1;-1;-1;-1;-1;1747.00527;99.62656;158548;6.52407;0.02674
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;1692728;3449;2;1;741579;1;-1;-1;-1;-1;1683.29041;99.60899;154629;6.58188;0.02765
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;1736030;3448;2;1;741579;1;-1;-1;-1;-1;1724.63031;99.61825;157243;6.58371;0.02721
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;4675948;3441;2;1;741579;1;-1;-1;-1;-1;4629.7396;99.84235;154616;7.29892;0.03067
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;1719668;3433;2;1;741579;1;-1;-1;-1;-1;1713.65758;99.6643;157252;5.75277;0.02377
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;1718363;3444;2;1;741579;1;-1;-1;-1;-1;1706.57951;99.64933;158542;5.98441;0.02453
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;1691117;3449;2;1;741579;1;-1;-1;-1;-1;1682.91327;99.62096;154631;6.37886;0.0268
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;1758956;3448;2;1;741579;1;-1;-1;-1;-1;1748.26181;99.61513;157245;6.72849;0.0278
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;51822;3190;2;1;741579;1;-1;-1;-1;-1;35.01465;99.73587;1479;0.09248;0.03083
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;52879;3190;2;1;741579;1;-1;-1;-1;-1;36.79175;99.78638;1477;0.07859;0.0262
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;51777;3186;2;1;741579;1;-1;-1;-1;-1;36.32044;99.701;1479;0.1086;0.0362
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;48865;3191;2;1;741579;1;-1;-1;-1;-1;32.84235;99.69904;1477;0.09884;0.03295
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;67135;3188;2;1;741579;1;-1;-1;-1;-1;46.4417;99.66509;1478;0.15554;0.05185
