Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;9;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;4941946;3196;2;1;750158;1;0;0.52856;0.52856;0.94696;4938.58261;99.63845;1172073;17.85565;0.0138
Joshua Sprey;Chvatal_t2;9;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;5044008;3196;2;1;750158;1;0;0.52886;0.52886;0.94736;5035.61283;99.6466;1171425;17.79606;0.01378
Joshua Sprey;Chvatal_t2;9;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;4871135;3196;2;1;750158;1;0;0.52939;0.52939;0.94747;4862.11013;99.65079;1172858;16.97889;0.01315
Joshua Sprey;Chvatal_t2;9;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;4776875;3196;2;1;750158;1;0;0.5293;0.5293;0.94789;4768.2151;99.6292;1172455;17.68076;0.01365
Joshua Sprey;Chvatal_t2;9;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;5302860;3196;2;1;750158;1;0;0.52941;0.52941;0.94797;5293.57175;99.66644;1171699;17.65706;0.01366
Joshua Sprey;ICPL_t2;9;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;1805186;3193;2;1;750158;1;0;0.52947;0.52947;0.94697;1800.25667;99.81804;328574;3.27569;0.00674
Joshua Sprey;ICPL_t2;9;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;1835898;3193;2;1;750158;1;0;0.52963;0.52963;0.94738;1830.87106;99.82301;326646;3.24048;0.00672
Joshua Sprey;ICPL_t2;9;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;1837329;3193;2;1;750158;1;0;0.53005;0.53005;0.94752;1831.82558;99.86613;491936;2.45229;0.00736
Joshua Sprey;ICPL_t2;9;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;1778714;3193;2;1;750158;1;0;0.53001;0.53001;0.94785;1774.87073;99.80522;332811;3.45703;0.00703
Joshua Sprey;ICPL_t2;9;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;1816531;3193;2;1;750158;1;0;0.53025;0.53025;0.94795;1811.80733;99.84056;527744;2.8888;0.00823
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;1745418;3425;2;1;750158;1;0;0.50857;0.50857;0.94624;1739.04015;99.62721;155959;6.48291;0.02701
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;1686690;3423;2;1;750158;1;0;0.50723;0.50723;0.94623;1670.00959;99.62452;152697;6.27057;0.02668
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;1776735;3414;2;1;750158;1;0;0.50408;0.50408;0.9462;1763.09152;99.64147;156615;6.3212;0.02623
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;1741422;3421;2;1;750158;1;0;0.50377;0.50377;0.94626;1735.25715;99.62296;157923;6.54257;0.02692
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;1748416;3429;2;1;750158;1;0;0.51275;0.51275;0.94626;1733.03379;99.62577;157273;6.4856;0.0268
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;1678036;3425;2;1;750158;1;0;0.50857;0.50857;0.94624;1672.31129;99.63752;155956;6.06173;0.02526
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;1652950;3423;2;1;750158;1;0;0.50723;0.50723;0.94623;1638.0722;99.62756;152701;6.10088;0.02596
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;1643031;3414;2;1;750158;1;0;0.50408;0.50408;0.9462;1630.32934;99.61767;156610;6.23321;0.02586
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;1658746;3421;2;1;750158;1;0;0.50377;0.50377;0.94626;1653.11863;99.6175;157905;6.3232;0.02602
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;1721870;3429;2;1;750158;1;0;0.51275;0.51275;0.94626;1714.74337;99.59696;157920;6.91117;0.02844
Joshua Sprey;YASA_t2_m1;9;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;77235;3190;2;1;750158;1;0;0.52818;0.52818;0.94646;54.31998;99.80539;1479;0.10571;0.03524
Joshua Sprey;YASA_t2_m1;9;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;82631;3186;2;1;750158;1;0;0.52778;0.52778;0.94648;57.11038;99.83144;1478;0.09627;0.03209
Joshua Sprey;YASA_t2_m1;9;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;75914;3186;2;1;750158;1;0;0.5283;0.5283;0.94629;53.90247;99.8001;1479;0.10775;0.03592
Joshua Sprey;YASA_t2_m1;9;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;76713;3191;2;1;750158;1;0;0.52626;0.52626;0.94633;52.84836;99.70042;1478;0.15832;0.05277
Joshua Sprey;YASA_t2_m1;9;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;74338;3182;2;1;750158;1;0;0.526;0.526;0.94629;50.13431;99.77583;1479;0.11238;0.03746
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;1723545;404;2;1;420352;1;0;0.06429;0.06429;0.95899;1718.67442;99.69466;520243;5.2478;0.0181
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;1710757;404;2;1;420352;1;0;0.06425;0.06425;0.95928;1698.91742;99.69221;518912;5.22903;0.01785
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;1752055;404;2;1;420352;1;0;0.06428;0.06428;0.95926;1745.2088;99.69495;521801;5.32375;0.01811
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;1761962;404;2;1;420352;1;0;0.06427;0.06427;0.95926;1750.48834;99.69749;519163;5.29541;0.01807
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;1654066;404;2;1;420352;1;0;0.0642;0.0642;0.95894;1644.59025;99.69564;519529;5.00548;0.01691
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;494157;403;2;1;420352;1;0;0.06402;0.06402;0.95898;491.62706;99.78126;79627;1.07537;0.00935
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;460640;403;2;1;420352;1;0;0.06398;0.06398;0.95928;457.97418;99.78517;91086;0.98388;0.01144
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;455284;403;2;1;420352;1;0;0.06402;0.06402;0.95926;452.53254;99.78853;82925;0.95696;0.01259
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;462505;403;2;1;420352;1;0;0.06401;0.06401;0.95929;459.83699;99.77861;85182;1.01805;0.01322
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;433388;403;2;1;420352;1;0;0.06399;0.06399;0.9589;430.68795;99.77928;87270;0.95059;0.01118
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;32724;411;2;1;420352;1;0;0.06034;0.06034;0.95765;23.18573;99.56476;4396;0.10091;0.01261
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;32177;409;2;1;420352;1;0;0.06013;0.06013;0.9577;25.10777;99.62691;4395;0.09368;0.01171
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;29291;404;2;1;420352;1;0;0.05912;0.05912;0.95762;22.9778;99.50656;4395;0.11338;0.01417
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;29982;408;2;1;420352;1;0;0.05963;0.05963;0.9576;23.53471;99.46011;4392;0.12706;0.01588
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;29728;407;2;1;420352;1;0;0.05956;0.05956;0.95762;22.73473;99.57112;4392;0.0975;0.01219
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;31805;411;2;1;420352;1;0;0.06034;0.06034;0.95765;22.70349;99.43748;4396;0.12771;0.01596
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;31035;409;2;1;420352;1;0;0.06013;0.06013;0.9577;24.18507;99.60183;4404;0.0963;0.01204
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;30259;404;2;1;420352;1;0;0.05912;0.05912;0.95762;23.69149;99.59405;4395;0.09617;0.01202
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;30393;408;2;1;420352;1;0;0.05963;0.05963;0.9576;23.47229;99.56274;4392;0.10263;0.01283
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;28639;407;2;1;420352;1;0;0.05956;0.05956;0.95762;22.3341;99.49537;4392;0.11271;0.01409
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;5732;401;2;1;420352;1;0;0.06379;0.06379;0.95804;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;7027;399;2;1;420352;1;0;0.06333;0.06333;0.95802;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;6778;402;2;1;420352;1;0;0.06397;0.06397;0.95803;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;5919;402;2;1;420352;1;0;0.06386;0.06386;0.95802;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;5798;400;2;1;420352;1;0;0.0636;0.0636;0.95803;-1;-1;-1;-1;-1
