Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;5624735;3194;2;1;741579;1;-1;-1;-1;-1;5618.00228;99.66338;1158799;18.91111;0.01466
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;5276913;3194;2;1;741579;1;-1;-1;-1;-1;5266.69194;99.64406;1158689;18.74625;0.01473
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;4908819;3194;2;1;741579;1;-1;-1;-1;-1;4903.04291;99.63084;1158580;18.10026;0.01399
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;4913150;3194;2;1;741579;1;-1;-1;-1;-1;4908.18421;99.60557;1158839;19.35956;0.01438
Joshua Sprey;Chvatal_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;5021489;3194;2;1;741579;1;-1;-1;-1;-1;5012.75297;99.61692;1159719;19.20272;0.01438
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;1723545;404;2;1;420352;1;0;0.06429;0.06429;0.95899;1718.67442;99.69466;520243;5.2478;0.0181
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;1710757;404;2;1;420352;1;0;0.06425;0.06425;0.95928;1698.91742;99.69221;518912;5.22903;0.01785
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;1752055;404;2;1;420352;1;0;0.06428;0.06428;0.95926;1745.2088;99.69495;521801;5.32375;0.01811
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;1761962;404;2;1;420352;1;0;0.06427;0.06427;0.95926;1750.48834;99.69749;519163;5.29541;0.01807
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;1654066;404;2;1;420352;1;0;0.0642;0.0642;0.95894;1644.59025;99.69564;519529;5.00548;0.01691
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-02-20;760;7552;1;1;14400000;true;true;8701930;3631;2;1;879109;1;0;0.10651;0.10651;0.94873;8692.86379;99.70483;1697104;25.65888;0.0122
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-02-20;760;7552;2;1;14400000;true;true;8231443;3632;2;1;879109;1;0;0.10647;0.10647;0.94873;8228.18772;99.69955;1697598;24.72184;0.01206
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-02-20;760;7552;3;1;14400000;true;true;7945929;3632;2;1;879109;1;0;0.10647;0.10647;0.94864;7937.59281;99.70344;1696936;23.53994;0.01127
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-02-20;760;7552;4;1;14400000;true;true;8254855;3631;2;1;879109;1;0;0.10647;0.10647;0.9483;8252.08693;99.71419;1696857;23.58529;0.0112
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-02-20;760;7552;5;1;14400000;true;true;8439177;3631;2;1;879109;1;0;0.10647;0.10647;0.94863;8427.67798;99.69677;1695567;25.55523;0.01255
Joshua Sprey;Chvatal_t2;3;FinancialServices_2018-03-26;772;7884;1;1;14400000;true;true;5797580;3551;2;1;855727;1;0;0.91258;0.91258;0.95937;5786.83164;99.65017;1548693;20.24393;0.0113
Joshua Sprey;Chvatal_t2;3;FinancialServices_2018-03-26;772;7884;2;1;14400000;true;true;6290738;3551;2;1;855727;1;0;0.90918;0.90918;0.95723;6279.6698;99.67491;1545726;20.41484;0.0112
Joshua Sprey;Chvatal_t2;3;FinancialServices_2018-03-26;772;7884;3;1;14400000;true;true;5788257;3551;2;1;855727;1;0;0.91059;0.91059;0.9579;5779.24006;99.62591;1546482;21.61947;0.01178
Joshua Sprey;Chvatal_t2;3;FinancialServices_2018-03-26;772;7884;4;1;14400000;true;true;6452880;3551;2;1;855727;1;0;0.91166;0.91166;0.95865;6445.02133;99.66759;1548099;21.4239;0.01159
Joshua Sprey;Chvatal_t2;3;FinancialServices_2018-03-26;772;7884;5;1;14400000;true;true;5875279;3551;2;1;855727;1;0;0.91015;0.91015;0.95732;5864.90056;99.62931;1546582;21.74072;0.01168
Joshua Sprey;Chvatal_t2;4;FinancialServices_2018-04-23;775;7909;1;1;14400000;true;true;7889777;4434;2;1;879498;1;0;0.79268;0.79268;0.98975;7881.04088;99.6785;1886371;25.33717;0.01081
Joshua Sprey;Chvatal_t2;4;FinancialServices_2018-04-23;775;7909;2;1;14400000;true;true;7748185;4434;2;1;879498;1;0;0.7932;0.7932;0.99008;7736.82097;99.66017;1885975;26.29216;0.011
Joshua Sprey;Chvatal_t2;4;FinancialServices_2018-04-23;775;7909;3;1;14400000;true;true;7664883;4434;2;1;879498;1;0;0.79448;0.79448;0.9912;7655.86186;99.63512;1886386;27.93485;0.01194
