Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;4675948;3441;2;1;741579;1;-1;-1;-1;-1;4629.7396;99.84235;154616;7.29892;0.03067
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;1719668;3433;2;1;741579;1;-1;-1;-1;-1;1713.65758;99.6643;157252;5.75277;0.02377
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;1718363;3444;2;1;741579;1;-1;-1;-1;-1;1706.57951;99.64933;158542;5.98441;0.02453
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;1691117;3449;2;1;741579;1;-1;-1;-1;-1;1682.91327;99.62096;154631;6.37886;0.0268
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;1758956;3448;2;1;741579;1;-1;-1;-1;-1;1748.26181;99.61513;157245;6.72849;0.0278
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;31805;411;2;1;420352;1;0;0.06034;0.06034;0.95765;22.70349;99.43748;4396;0.12771;0.01596
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;31035;409;2;1;420352;1;0;0.06013;0.06013;0.9577;24.18507;99.60183;4404;0.0963;0.01204
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;30259;404;2;1;420352;1;0;0.05912;0.05912;0.95762;23.69149;99.59405;4395;0.09617;0.01202
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;30393;408;2;1;420352;1;0;0.05963;0.05963;0.9576;23.47229;99.56274;4392;0.10263;0.01283
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;28639;407;2;1;420352;1;0;0.05956;0.05956;0.95762;22.3341;99.49537;4392;0.11271;0.01409
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;1;1;14400000;true;true;12740393;4544;2;1;879109;1;0;0.08544;0.08544;0.9357;12724.82224;99.6318;1105305;46.85267;0.02776
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;2;1;14400000;true;true;12731512;4535;2;1;879109;1;0;0.08521;0.08521;0.93573;12725.53013;99.62642;1107253;47.53941;0.02811
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;3;1;14400000;true;true;13162556;4571;2;1;879109;1;0;0.0835;0.0835;0.93578;13149.988;99.63662;1113170;47.78447;0.02811
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;4;1;14400000;true;true;12987352;4517;2;1;879109;1;0;0.08535;0.08535;0.93631;12980.52876;99.63062;1110549;47.94716;0.02827
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;5;1;14400000;true;true;12604761;4549;2;1;879109;1;0;0.08449;0.08449;0.93556;12598.53699;99.63569;1100717;45.89796;0.0273
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;1;1;14400000;true;true;2182838;3795;2;1;855727;1;0;0.67636;0.67636;0.95168;2175.55862;99.64455;249823;7.73295;0.0204
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;2;1;14400000;true;true;2193013;3805;2;1;855727;1;0;0.68189;0.68189;0.95179;2186.56349;99.66449;245248;7.33617;0.01972
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;3;1;14400000;true;true;2053360;3770;2;1;855727;1;0;0.66211;0.66211;0.95165;2041.16475;99.67995;236605;6.53268;0.0182
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;4;1;14400000;true;true;2030228;3783;2;1;855727;1;0;0.67985;0.67985;0.95174;2024.71063;99.66439;242565;6.79512;0.01847
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;5;1;14400000;true;true;2049523;3778;2;1;855727;1;0;0.67004;0.67004;0.95174;2043.87982;99.66146;248480;6.91928;0.01835
Joshua Sprey;Incling_t2;4;FinancialServices_2018-04-23;775;7909;1;1;14400000;true;true;3138590;4899;2;1;879498;1;0;0.76617;0.76617;0.98767;3129.58436;99.69754;329410;9.46561;0.01897
