Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;1821794;3441;2;1;741579;1;-1;-1;-1;-1;1809.18972;99.68469;154624;5.7045;0.02397
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;1670483;3433;2;1;741579;1;-1;-1;-1;-1;1664.76329;99.65726;157254;5.70573;0.02358
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;1759505;3444;2;1;741579;1;-1;-1;-1;-1;1747.00527;99.62656;158548;6.52407;0.02674
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;1692728;3449;2;1;741579;1;-1;-1;-1;-1;1683.29041;99.60899;154629;6.58188;0.02765
Joshua Sprey;Incling_t2;0;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;1736030;3448;2;1;741579;1;-1;-1;-1;-1;1724.63031;99.61825;157243;6.58371;0.02721
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;32724;411;2;1;420352;1;0;0.06034;0.06034;0.95765;23.18573;99.56476;4396;0.10091;0.01261
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;32177;409;2;1;420352;1;0;0.06013;0.06013;0.9577;25.10777;99.62691;4395;0.09368;0.01171
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;29291;404;2;1;420352;1;0;0.05912;0.05912;0.95762;22.9778;99.50656;4395;0.11338;0.01417
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;29982;408;2;1;420352;1;0;0.05963;0.05963;0.9576;23.53471;99.46011;4392;0.12706;0.01588
Joshua Sprey;Incling_t2;1;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;29728;407;2;1;420352;1;0;0.05956;0.05956;0.95762;22.73473;99.57112;4392;0.0975;0.01219
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;1;1;14400000;true;true;12644503;4544;2;1;879109;1;0;0.08544;0.08544;0.9357;12629.12549;99.63287;1105304;46.36486;0.02747
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;2;1;14400000;true;true;13247061;4535;2;1;879109;1;0;0.08521;0.08521;0.93573;13240.97503;99.64719;1107255;46.71611;0.02763
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;3;1;14400000;true;true;13244244;4571;2;1;879109;1;0;0.0835;0.0835;0.93578;13231.12384;99.64606;1113171;46.83067;0.02755
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;4;1;14400000;true;true;13282202;4517;2;1;879109;1;0;0.08535;0.08535;0.93631;13274.26137;99.64937;1110549;46.54414;0.02744
Joshua Sprey;Incling_t2;2;FinancialServices_2018-02-20;760;7552;5;1;14400000;true;true;12459527;4549;2;1;879109;1;0;0.08449;0.08449;0.93556;12453.02557;99.63261;1100719;45.7506;0.02722
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;1;1;14400000;true;true;2144939;3795;2;1;855727;1;0;0.67636;0.67636;0.95168;2134.84334;99.64696;249838;7.53685;0.01989
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;2;1;14400000;true;true;2137817;3805;2;1;855727;1;0;0.68189;0.68189;0.95179;2130.8791;99.64138;245242;7.6418;0.02054
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;3;1;14400000;true;true;2067554;3770;2;1;855727;1;0;0.66211;0.66211;0.95165;2054.85457;99.63776;236608;7.44356;0.02073
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;4;1;14400000;true;true;2118248;3783;2;1;855727;1;0;0.67985;0.67985;0.95174;2109.72648;99.64823;242605;7.42133;0.02017
Joshua Sprey;Incling_t2;3;FinancialServices_2018-03-26;772;7884;5;1;14400000;true;true;2159859;3778;2;1;855727;1;0;0.67004;0.67004;0.95174;2154.07879;99.63679;248478;7.82384;0.02075
Joshua Sprey;Incling_t2;4;FinancialServices_2018-04-23;775;7909;1;1;14400000;true;true;3200879;4899;2;1;879498;1;0;0.76617;0.76617;0.98767;3194.07277;99.6773;329410;10.30714;0.02066
Joshua Sprey;Incling_t2;4;FinancialServices_2018-04-23;775;7909;2;1;14400000;true;true;3273350;4867;2;1;879498;1;0;0.77266;0.77266;0.9878;3257.27113;99.69123;334048;10.05755;0.01988
Joshua Sprey;Incling_t2;4;FinancialServices_2018-04-23;775;7909;3;1;14400000;true;true;3275551;4907;2;1;879498;1;0;0.76057;0.76057;0.98765;3267.36415;99.68272;341333;10.36673;0.02005
Joshua Sprey;Incling_t2;4;FinancialServices_2018-04-23;775;7909;4;1;14400000;true;true;3091480;4878;2;1;879498;1;0;0.76727;0.76727;0.98769;3081.1908;99.67731;326773;9.94276;0.02009
Joshua Sprey;Incling_t2;4;FinancialServices_2018-04-23;775;7909;5;1;14400000;true;true;3118363;4851;2;1;879498;1;0;0.7699;0.7699;0.98776;3103.09506;99.6838;325433;9.81205;0.0199
Joshua Sprey;Incling_t2;5;FinancialServices_2017-11-20;712;7579;1;1;14400000;true;true;1679376;3427;2;1;739507;1;0;0.50487;0.50487;0.94981;1663.82634;99.61243;152665;6.44845;0.02744
Joshua Sprey;Incling_t2;5;FinancialServices_2017-11-20;712;7579;2;1;14400000;true;true;1665305;3413;2;1;739507;1;0;0.50679;0.50679;0.94977;1651.08489;99.62248;148740;6.23316;0.02722
Joshua Sprey;Incling_t2;5;FinancialServices_2017-11-20;712;7579;3;1;14400000;true;true;1724369;3427;2;1;739507;1;0;0.50356;0.50356;0.9498;1716.51756;99.62357;154624;6.46151;0.02715
Joshua Sprey;Incling_t2;5;FinancialServices_2017-11-20;712;7579;4;1;14400000;true;true;1732786;3425;2;1;739507;1;0;0.50752;0.50752;0.94977;1718.09523;99.62731;155932;6.40308;0.02668
Joshua Sprey;Incling_t2;5;FinancialServices_2017-11-20;712;7579;5;1;14400000;true;true;1643243;3420;2;1;739507;1;0;0.51094;0.51094;0.94979;1636.26713;99.61415;151347;6.31357;0.0271
Joshua Sprey;Incling_t2;6;FinancialServices_2017-09-28;705;7250;1;1;14400000;true;true;1615066;3441;2;1;726513;1;0;0.97896;0.97896;0.98516;1600.16772;99.607;149377;6.28862;0.02734
Joshua Sprey;Incling_t2;6;FinancialServices_2017-09-28;705;7250;2;1;14400000;true;true;1792970;3455;2;1;726513;1;0;0.97123;0.97123;0.9852;1785.70122;99.57968;153957;7.50562;0.03167
Joshua Sprey;Incling_t2;6;FinancialServices_2017-09-28;705;7250;3;1;14400000;true;true;1667780;3429;2;1;726513;1;0;0.98211;0.98211;0.98513;1654.96038;99.62419;150023;6.21958;0.02692
Joshua Sprey;Incling_t2;6;FinancialServices_2017-09-28;705;7250;4;1;14400000;true;true;1673201;3436;2;1;726513;1;0;0.97957;0.97957;0.98507;1663.29334;99.63734;149370;6.03204;0.02623
Joshua Sprey;Incling_t2;6;FinancialServices_2017-09-28;705;7250;5;1;14400000;true;true;1626978;3414;2;1;726513;1;0;0.97926;0.97926;0.98512;1618.77377;99.61068;152632;6.30225;0.02682
Joshua Sprey;Incling_t2;7;FinancialServices_2018-01-23;713;7396;1;1;14400000;true;true;1762787;3409;2;1;744069;1;0;0.95125;0.95125;0.97148;1748.79025;99.62378;158544;6.57936;0.02696
Joshua Sprey;Incling_t2;7;FinancialServices_2018-01-23;713;7396;2;1;14400000;true;true;1762446;3426;2;1;744069;1;0;0.95303;0.95303;0.97152;1747.4428;99.63398;158551;6.39605;0.02621
Joshua Sprey;Incling_t2;7;FinancialServices_2018-01-23;713;7396;3;1;14400000;true;true;1733001;3408;2;1;744069;1;0;0.95734;0.95734;0.97154;1724.86343;99.63643;154624;6.27103;0.02635
Joshua Sprey;Incling_t2;7;FinancialServices_2018-01-23;713;7396;4;1;14400000;true;true;1603100;3418;2;1;744069;1;0;0.95907;0.95907;0.97145;1588.83204;99.61447;148715;6.12548;0.02675
Joshua Sprey;Incling_t2;7;FinancialServices_2018-01-23;713;7396;5;1;14400000;true;true;1766493;3435;2;1;744069;1;0;0.96344;0.96344;0.97149;1753.98643;99.60716;158544;6.89041;0.02824
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;1;1;14400000;true;true;3042526;4861;2;1;883963;1;0;0.66413;0.66413;0.94947;3028.81597;99.68773;318166;9.4582;0.01962
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;2;1;14400000;true;true;3171025;4868;2;1;883963;1;0;0.66647;0.66647;0.94952;3156.15794;99.65583;317452;10.86248;0.02258
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;3;1;14400000;true;true;3070997;4874;2;1;883963;1;0;0.66227;0.66227;0.9495;3063.34045;99.68971;323406;9.50514;0.0194
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;4;1;14400000;true;true;2962417;4886;2;1;883963;1;0;0.66262;0.66262;0.94953;2950.17967;99.68046;317480;9.42707;0.0196
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;5;1;14400000;true;true;3125503;4842;2;1;883963;1;0;0.67171;0.67171;0.9496;3115.55775;99.68673;318777;9.76018;0.02021
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;1745418;3425;2;1;750158;1;0;0.50857;0.50857;0.94624;1739.04015;99.62721;155959;6.48291;0.02701
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;1686690;3423;2;1;750158;1;0;0.50723;0.50723;0.94623;1670.00959;99.62452;152697;6.27057;0.02668
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;1776735;3414;2;1;750158;1;0;0.50408;0.50408;0.9462;1763.09152;99.64147;156615;6.3212;0.02623
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;1741422;3421;2;1;750158;1;0;0.50377;0.50377;0.94626;1735.25715;99.62296;157923;6.54257;0.02692
Joshua Sprey;Incling_t2;9;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;1748416;3429;2;1;750158;1;0;0.51275;0.51275;0.94626;1733.03379;99.62577;157273;6.4856;0.0268
