Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m5;3;FinancialServices_2017-05-22;557;4992;1;1;86400000;true;true;26484;399;2;1;420352;1;-1;-1;-1;-1;-1;99.01787;3064;0.05754;0.01918
Joshua Sprey;YASA_t2_m10;3;FinancialServices_2017-05-22;557;4992;1;1;86400000;true;true;45849;398;2;1;420352;1;-1;-1;-1;-1;-1;99.86248;4087;0.0471;0.01178
Joshua Sprey;YASA_t2_m5;98;FinancialServices_2017-09-28;704;6545;1;1;86400000;true;true;503151;3183;2;1;726513;1;-1;-1;-1;-1;-1;99.89903;13636;0.47046;0.04277
Joshua Sprey;YASA_t2_m10;98;FinancialServices_2017-09-28;704;6545;1;1;86400000;true;true;959424;3182;2;1;726513;1;-1;-1;-1;-1;-1;99.94583;19669;0.48688;0.02434
Joshua Sprey;YASA_t2_m5;0;FinancialServices_2017-10-20;712;6779;1;1;86400000;true;true;368968;3187;2;1;741579;1;-1;-1;-1;-1;-1;99.90248;12680;0.30171;0.02514
Joshua Sprey;YASA_t2_m10;0;FinancialServices_2017-10-20;712;6779;1;1;86400000;true;true;1038357;3186;2;1;741579;1;-1;-1;-1;-1;-1;99.94805;18184;0.48657;0.02862
Joshua Sprey;YASA_t2_m5;69;FinancialServices_2017-11-20;711;6867;1;1;86400000;true;true;460996;3172;2;1;739507;1;-1;-1;-1;-1;-1;99.92402;6001;0.27479;0.0458
Joshua Sprey;YASA_t2_m10;69;FinancialServices_2017-11-20;711;6867;1;1;86400000;true;true;982028;3172;2;1;739507;1;-1;-1;-1;-1;-1;99.94391;26442;0.50146;0.02006
Joshua Sprey;YASA_t2_m5;121;FinancialServices_2017-12-22;716;6861;1;1;86400000;true;true;484104;3179;2;1;750158;1;-1;-1;-1;-1;-1;99.93703;6969;0.28636;0.04091
Joshua Sprey;YASA_t2_m10;121;FinancialServices_2017-12-22;716;6861;1;1;86400000;true;true;1006599;3178;2;1;750158;1;-1;-1;-1;-1;-1;99.93956;19797;0.5533;0.02912
Joshua Sprey;YASA_t2_m5;109;FinancialServices_2018-01-23;712;6683;1;1;86400000;true;true;511903;3185;2;1;744069;1;-1;-1;-1;-1;-1;99.92305;20441;0.36156;0.01903
Joshua Sprey;YASA_t2_m10;109;FinancialServices_2018-01-23;712;6683;1;1;86400000;true;true;1029051;3185;2;1;744069;1;-1;-1;-1;-1;-1;99.95533;18686;0.43511;0.02417
Joshua Sprey;YASA_t2_m5;20;FinancialServices_2018-02-20;759;6792;1;1;86400000;true;true;671733;3626;2;1;879109;1;-1;-1;-1;-1;-1;99.92009;28025;0.50156;0.01858
Joshua Sprey;YASA_t2_m10;20;FinancialServices_2018-02-20;759;6792;1;1;86400000;true;true;1427930;3623;2;1;879109;1;-1;-1;-1;-1;-1;99.95369;20217;0.64498;0.03225
Joshua Sprey;YASA_t2_m5;28;FinancialServices_2018-03-26;771;7112;1;1;86400000;true;true;628065;3548;2;1;855727;1;-1;-1;-1;-1;-1;99.92558;28464;0.43048;0.01537
Joshua Sprey;YASA_t2_m10;28;FinancialServices_2018-03-26;771;7112;1;1;86400000;true;true;1486046;3548;2;1;855727;1;-1;-1;-1;-1;-1;99.95278;35527;0.64595;0.01957
Joshua Sprey;YASA_t2_m5;58;FinancialServices_2018-04-23;774;7134;1;1;86400000;true;true;849351;4420;2;1;879498;1;-1;-1;-1;-1;-1;99.92112;33092;0.60487;0.0189
Joshua Sprey;YASA_t2_m10;58;FinancialServices_2018-04-23;774;7134;1;1;86400000;true;true;1760722;4412;2;1;879498;1;-1;-1;-1;-1;-1;99.95328;31451;0.80251;0.02508
Joshua Sprey;YASA_t2_m5;117;FinancialServices_2018-05-09;771;7238;1;1;86400000;true;true;800178;4399;2;1;883963;1;-1;-1;-1;-1;-1;99.93109;34386;0.50452;0.01529
Joshua Sprey;YASA_t2_m10;117;FinancialServices_2018-05-09;771;7238;1;1;86400000;true;true;1703414;4396;2;1;883963;1;-1;-1;-1;-1;-1;99.95528;30522;0.7089;0.02363
