Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m5;0;FinancialServices_2019-02-01;790;6468;1;1;86400000;true;true;380229;2827;2;1.0;913505;1.0;-1;-1;-1;-1;-1;99.81311;23820;0.5895;0.03684
Joshua Sprey;YASA_t2_m10;0;FinancialServices_2019-02-01;790;6468;1;1;86400000;true;true;1062933;2822;2;1.0;913505;1.0;-1;-1;-1;-1;-1;99.92772;32274;0.70359;0.0335
Joshua Sprey;YASA_t2_m5;1;FinancialServices_2018-07-03;815;7388;1;1;86400000;true;true;625178;3544;2;1.0;971174;1.0;-1;-1;-1;-1;-1;99.91847;40589;0.48476;0.01276
Joshua Sprey;YASA_t2_m10;1;FinancialServices_2018-07-03;815;7388;1;1;86400000;true;true;1377519;3544;2;1.0;971174;1.0;-1;-1;-1;-1;-1;99.9429;59273;0.75318;0.01448
Joshua Sprey;YASA_t2_m5;2;FinancialServices_2018-11-27;787;6477;1;1;86400000;true;true;479734;2866;2;1.0;913488;1.0;-1;-1;-1;-1;-1;99.91907;16572;0.33903;0.02119
Joshua Sprey;YASA_t2_m10;2;FinancialServices_2018-11-27;787;6477;1;1;86400000;true;true;1007687;2866;2;1.0;913488;1.0;-1;-1;-1;-1;-1;99.94989;25464;0.49741;0.02073
Joshua Sprey;YASA_t2_m5;3;FinancialServices_2018-08-15;823;7355;1;1;86400000;true;true;684309;3546;2;1.0;990472;1.0;-1;-1;-1;-1;-1;99.92326;51994;0.44621;0.0097
Joshua Sprey;YASA_t2_m10;3;FinancialServices_2018-08-15;823;7355;1;1;86400000;true;true;1415317;3545;2;1.0;990472;1.0;-1;-1;-1;-1;-1;99.95083;40087;0.66132;0.01787
Joshua Sprey;YASA_t2_m5;4;FinancialServices_2018-12-14;786;6447;1;1;86400000;true;true;488323;2818;2;1.0;904052;1.0;-1;-1;-1;-1;-1;99.91635;16003;0.36507;0.02434
Joshua Sprey;YASA_t2_m10;4;FinancialServices_2018-12-14;786;6447;1;1;86400000;true;true;1024170;2816;2;1.0;904052;1.0;-1;-1;-1;-1;-1;99.94623;31038;0.5034;0.01798
Joshua Sprey;YASA_t2_m5;5;FinancialServices_2018-06-26;771;7233;1;1;86400000;true;true;802166;4393;2;1.0;879137;1.0;-1;-1;-1;-1;-1;99.93084;33218;0.54272;0.01696
Joshua Sprey;YASA_t2_m10;5;FinancialServices_2018-06-26;771;7233;1;1;86400000;true;true;1708929;4388;2;1.0;879137;1.0;-1;-1;-1;-1;-1;99.95693;30542;0.71534;0.02384
Joshua Sprey;YASA_t2_m5;6;FinancialServices_2019-01-24;790;6468;1;1;86400000;true;true;480944;2823;2;1.0;913505;1.0;-1;-1;-1;-1;-1;99.9152;16612;0.36551;0.02284
Joshua Sprey;YASA_t2_m10;6;FinancialServices_2019-01-24;790;6468;1;1;86400000;true;true;1054544;2822;2;1.0;913505;1.0;-1;-1;-1;-1;-1;99.94636;25232;0.54945;0.02389
Joshua Sprey;YASA_t2_m5;7;FinancialServices_2018-10-15;785;6440;1;1;86400000;true;true;613457;3273;2;1.0;904672;1.0;-1;-1;-1;-1;-1;99.92638;28096;0.41887;0.01611
Joshua Sprey;YASA_t2_m10;7;FinancialServices_2018-10-15;785;6440;1;1;86400000;true;true;1302381;3273;2;1.0;904672;1.0;-1;-1;-1;-1;-1;99.95708;37407;0.55229;0.01624
Joshua Sprey;YASA_t2_m5;8;FinancialServices_2018-09-24;823;7179;1;1;86400000;true;true;728025;3727;2;1.0;990800;1.0;-1;-1;-1;-1;-1;99.93068;31728;0.43929;0.01464
Joshua Sprey;YASA_t2_m10;8;FinancialServices_2018-09-24;823;7179;1;1;86400000;true;true;1598956;3726;2;1.0;990800;1.0;-1;-1;-1;-1;-1;99.96085;40987;0.60562;0.01594
Joshua Sprey;YASA_t2_m5;9;FinancialServices_2019-03-19;795;6495;1;1;86400000;true;true;545706;2831;2;1.0;926497;1.0;-1;-1;-1;-1;-1;99.92062;24178;0.37057;0.01611
Joshua Sprey;YASA_t2_m10;9;FinancialServices_2019-03-19;795;6495;1;1;86400000;true;true;1138342;2826;2;1.0;926497;1.0;-1;-1;-1;-1;-1;99.94599;32147;0.56961;0.01899
