Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;FinancialServices_2018-03-26;772;7884;1;1;14400000;true;true;8964466;3551;2;1;855727;1;-1;-1;-1;-1;8949.36361;99.58131;1552448;37.47038;0.01318
Joshua Sprey;Chvatal_t2;0;FinancialServices_2018-03-26;772;7884;2;1;14400000;true;true;8961541;3551;2;1;855727;1;-1;-1;-1;-1;8950.8471;99.58582;1551355;37.07274;0.01304
Joshua Sprey;Chvatal_t2;0;FinancialServices_2018-03-26;772;7884;3;1;14400000;true;true;9655784;3551;2;1;855727;1;-1;-1;-1;-1;9643.85209;99.61314;1551901;37.30865;0.01312
Joshua Sprey;Chvatal_t2;0;FinancialServices_2018-03-26;772;7884;4;1;14400000;true;true;9600832;3551;2;1;855727;1;-1;-1;-1;-1;9584.62191;99.61055;1552448;37.32737;0.01312
Joshua Sprey;Chvatal_t2;0;FinancialServices_2018-03-26;772;7884;5;1;14400000;true;true;9266728;3551;2;1;855727;1;-1;-1;-1;-1;9253.98971;99.59587;1551901;37.39808;0.01315
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-11-20;712;7579;1;1;14400000;true;true;7206415;3192;2;1;739507;1;0;0.77352;0.77352;0.9517;7192.50612;99.58384;1159966;29.93266;0.01409
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-11-20;712;7579;2;1;14400000;true;true;7387799;3192;2;1;739507;1;0;0.77329;0.77329;0.95183;7376.36895;99.58711;1161058;30.45642;0.01432
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-11-20;712;7579;3;1;14400000;true;true;7467920;3192;2;1;739507;1;0;0.7736;0.7736;0.95192;7458.82421;99.59492;1160510;30.21445;0.01421
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-11-20;712;7579;4;1;14400000;true;true;7266714;3192;2;1;739507;1;0;0.77259;0.77259;0.95113;7255.11116;99.58732;1159420;29.9407;0.0141
Joshua Sprey;Chvatal_t2;1;FinancialServices_2017-11-20;712;7579;5;1;14400000;true;true;7478633;3192;2;1;739507;1;0;0.77338;0.77338;0.95173;7465.07027;99.60035;1159967;29.83401;0.01404
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-04-23;775;7909;1;1;14400000;true;true;12908293;4439;2;1;879498;1;0;0.68038;0.68038;0.95087;12895.02793;99.65672;1894694;44.26637;0.01275
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-04-23;775;7909;2;1;14400000;true;true;12609250;4439;2;1;879498;1;0;0.6801;0.6801;0.95077;12598.47527;99.65634;1895238;43.29618;0.01247
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-04-23;775;7909;3;1;14400000;true;true;12681243;4439;2;1;879498;1;0;0.68114;0.68114;0.9518;12666.07094;99.64328;1894694;45.18237;0.01302
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-04-23;775;7909;4;1;14400000;true;true;13667654;4439;2;1;879498;1;0;0.68086;0.68086;0.95167;13652.51402;99.66651;1894692;45.5297;0.01312
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-04-23;775;7909;5;1;14400000;true;true;13250321;4439;2;1;879498;1;0;0.68093;0.68093;0.95186;13237.50962;99.67108;1894693;43.54041;0.01254
Joshua Sprey;Chvatal_t2;3;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;7520303;3193;2;1;750158;1;0;0.52811;0.52811;0.95113;7508.20715;99.59619;1175797;30.31866;0.01408
Joshua Sprey;Chvatal_t2;3;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;7621481;3193;2;1;750158;1;0;0.52879;0.52879;0.95213;7611.88543;99.59845;1175796;30.56572;0.01419
Joshua Sprey;Chvatal_t2;3;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;7473863;3193;2;1;750158;1;0;0.52855;0.52855;0.95164;7463.45917;99.58668;1177435;30.84826;0.0143
Joshua Sprey;Chvatal_t2;3;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;7529674;3193;2;1;750158;1;0;0.52821;0.52821;0.95144;7519.12185;99.5879;1176889;30.986;0.01437
Joshua Sprey;Chvatal_t2;3;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;7573278;3193;2;1;750158;1;0;0.52894;0.52894;0.95221;7561.3531;99.60389;1175797;29.95119;0.0139
Joshua Sprey;Chvatal_t2;4;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;8085341;3200;2;1;741579;1;0.01094;0.98717;0.98731;0.99118;8071.58688;99.61944;1162174;30.71727;0.01443
Joshua Sprey;Chvatal_t2;4;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;7656652;3200;2;1;741579;1;0.00562;0.98659;0.98667;0.99001;7643.75041;99.58485;1162719;31.73279;0.0149
Joshua Sprey;Chvatal_t2;4;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;7406956;3200;2;1;741579;1;0.01156;0.98933;0.98945;0.99219;7394.68348;99.58816;1162174;30.45448;0.0143
Joshua Sprey;Chvatal_t2;4;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;7907205;3200;2;1;741579;1;0.01063;0.98867;0.98879;0.99175;7893.23642;99.61995;1162174;29.99792;0.01409
Joshua Sprey;Chvatal_t2;4;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;7885137;3200;2;1;741579;1;0.00969;0.98817;0.98828;0.9919;7873.91147;99.61396;1163266;30.39638;0.01426
Joshua Sprey;Chvatal_t2;5;FinancialServices_2018-02-20;760;7552;1;1;14400000;true;true;13912091;3635;2;1;879109;1;0;0.84927;0.84927;0.96943;13900.94152;99.67712;1708803;44.88389;0.01434
Joshua Sprey;Chvatal_t2;5;FinancialServices_2018-02-20;760;7552;2;1;14400000;true;true;13601407;3635;2;1;879109;1;0;0.84831;0.84831;0.96847;13595.99664;99.67061;1708765;44.78334;0.0143
Joshua Sprey;Chvatal_t2;5;FinancialServices_2018-02-20;760;7552;3;1;14400000;true;true;13393808;3635;2;1;879109;1;0;0.84971;0.84971;0.96994;13382.04868;99.66389;1708258;44.97866;0.01437
Joshua Sprey;Chvatal_t2;5;FinancialServices_2018-02-20;760;7552;4;1;14400000;true;true;13815728;3635;2;1;879109;1;0;0.84891;0.84891;0.96933;13799.36021;99.65913;1707713;47.0382;0.01503
Joshua Sprey;Chvatal_t2;5;FinancialServices_2018-02-20;760;7552;5;1;14400000;true;true;14054693;3635;2;1;879109;1;0;0.84783;0.84783;0.96793;14040.25242;99.681;1707166;44.78865;0.01432
Joshua Sprey;Chvatal_t2;6;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;2308508;404;2;1;420352;1;0;0.0555;0.0555;0.94874;2297.07373;99.47766;521496;11.99854;0.01256
Joshua Sprey;Chvatal_t2;6;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;2280685;404;2;1;420352;1;0;0.05545;0.05545;0.94874;2272.61936;99.48368;522040;11.73409;0.01227
Joshua Sprey;Chvatal_t2;6;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;2207330;404;2;1;420352;1;0;0.05546;0.05546;0.94866;2198.01559;99.46609;519857;11.73543;0.01233
Joshua Sprey;Chvatal_t2;6;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;2204277;404;2;1;420352;1;0;0.05544;0.05544;0.94832;2198.52068;99.47248;520401;11.59762;0.01217
Joshua Sprey;Chvatal_t2;6;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;2186492;404;2;1;420352;1;0;0.05546;0.05546;0.94865;2175.97661;99.45999;521496;11.75057;0.0123
Joshua Sprey;Chvatal_t2;7;FinancialServices_2017-09-28;705;7250;1;1;14400000;true;true;9155404;3202;2;1;726513;1;0;0.12198;0.12198;0.96415;9141.72762;99.61962;1136516;34.77292;0.0167
Joshua Sprey;Chvatal_t2;7;FinancialServices_2017-09-28;705;7250;2;1;14400000;true;true;7003609;3202;2;1;726513;1;0;0.12195;0.12195;0.96385;6991.49397;99.57219;1137062;29.91052;0.01436
Joshua Sprey;Chvatal_t2;7;FinancialServices_2017-09-28;705;7250;3;1;14400000;true;true;6990551;3202;2;1;726513;1;0;0.12192;0.12192;0.96378;6980.26958;99.58349;1134331;29.07338;0.01399
Joshua Sprey;Chvatal_t2;7;FinancialServices_2017-09-28;705;7250;4;1;14400000;true;true;6971716;3202;2;1;726513;1;0;0.12199;0.12199;0.96424;6961.49301;99.58057;1137061;29.19842;0.01402
Joshua Sprey;Chvatal_t2;7;FinancialServices_2017-09-28;705;7250;5;1;14400000;true;true;7408836;3202;2;1;726513;1;0;0.12195;0.12195;0.96391;7403.89176;99.60861;1134317;28.97841;0.01395
Joshua Sprey;Chvatal_t2;8;FinancialServices_2018-05-09;772;8010;1;1;14400000;true;true;13077470;4419;2;1;883963;1;0;0.67875;0.67875;0.94348;13067.04691;99.66051;1886360;44.36158;0.01284
Joshua Sprey;Chvatal_t2;8;FinancialServices_2018-05-09;772;8010;2;1;14400000;true;true;13478071;4419;2;1;883963;1;0;0.67901;0.67901;0.94328;13466.27009;99.66775;1884723;44.74141;0.01296
Joshua Sprey;Chvatal_t2;8;FinancialServices_2018-05-09;772;8010;3;1;14400000;true;true;12979141;4419;2;1;883963;1;0;0.67907;0.67907;0.94303;12972.36133;99.64393;1885257;46.19004;0.01337
