Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;ICPL_t2;0;FinancialServices_2018-03-26;772;7884;1;1;86400000;true;true;4527536;3555;2;1.0;855727;1.0;-1;-1;-1;-1;4505.82548;99.92109;302464;3.55548;0.00642
Joshua Sprey;ICPL_t2;0;FinancialServices_2018-03-26;772;7884;2;1;86400000;true;true;4603287;3555;2;1.0;855727;1.0;-1;-1;-1;-1;4590.32801;99.91509;302464;3.89766;0.00704
Joshua Sprey;ICPL_t2;0;FinancialServices_2018-03-26;772;7884;3;1;86400000;true;true;4404272;3555;2;1.0;855727;1.0;-1;-1;-1;-1;4389.06607;99.9144;303014;3.75705;0.00677
Joshua Sprey;ICPL_t2;0;FinancialServices_2018-03-26;772;7884;4;1;86400000;true;true;4462754;3555;2;1.0;855727;1.0;-1;-1;-1;-1;4449.41326;99.91521;304102;3.77251;0.00677
Joshua Sprey;ICPL_t2;0;FinancialServices_2018-03-26;772;7884;5;1;86400000;true;true;4286362;3555;2;1.0;855727;1.0;-1;-1;-1;-1;4272.88244;99.91231;303016;3.74671;0.00675
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-11-20;712;7579;1;1;86400000;true;true;3467346;3195;2;1.0;739507;1.0;0;0.77323;0.77323;0.95173;3453.95697;99.92101;196533;2.72812;0.00758
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-11-20;712;7579;2;1;86400000;true;true;3909586;3195;2;1.0;739507;1.0;0;0.77296;0.77296;0.95184;3896.99112;99.92463;197606;2.93706;0.00811
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-11-20;712;7579;3;1;86400000;true;true;3484329;3195;2;1.0;739507;1.0;0;0.77326;0.77326;0.95191;3471.03145;99.9268;195440;2.54081;0.0071
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-11-20;712;7579;4;1;86400000;true;true;3473362;3188;2;1.0;739507;1.0;0;0.76946;0.76946;0.95121;3459.54005;99.92172;196534;2.70804;0.00752
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-11-20;712;7579;5;1;86400000;true;true;3625800;3190;2;1.0;739507;1.0;0;0.77093;0.77093;0.95178;3611.9643;99.9296;196532;2.54288;0.00706
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-04-23;775;7909;1;1;86400000;true;true;6872405;4441;2;1.0;879498;1.0;0;0.6807;0.6807;0.95087;6857.12714;99.92468;452607;5.16493;0.00623
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-04-23;775;7909;2;1;86400000;true;true;7134167;4441;2;1.0;879498;1.0;0;0.6805;0.6805;0.95078;7124.65003;99.92749;448771;5.16603;0.00628
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-04-23;775;7909;3;1;86400000;true;true;6546518;4441;2;1.0;879498;1.0;0;0.6814;0.6814;0.95179;6531.63948;99.92727;447688;4.75031;0.00579
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-04-23;775;7909;4;1;86400000;true;true;7533681;4441;2;1.0;879498;1.0;0;0.6798;0.6798;0.95169;7517.54985;99.93754;451514;4.69546;0.00568
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-04-23;775;7909;5;1;86400000;true;true;6716778;4441;2;1.0;879498;1.0;0;0.68019;0.68019;0.95185;6708.15292;99.92876;452037;4.77894;0.00577
Joshua Sprey;ICPL_t2;3;FinancialServices_2017-12-22;717;7578;1;1;86400000;true;true;3487830;3193;2;1.0;750158;1.0;0;0.52782;0.52782;0.9512;3474.37119;99.92519;199264;2.59913;0.00712
Joshua Sprey;ICPL_t2;3;FinancialServices_2017-12-22;717;7578;2;1;86400000;true;true;3637654;3193;2;1.0;750158;1.0;0;0.52854;0.52854;0.95216;3623.98313;99.92393;199807;2.75681;0.00753
Joshua Sprey;ICPL_t2;3;FinancialServices_2017-12-22;717;7578;3;1;86400000;true;true;3582661;3193;2;1.0;750158;1.0;0;0.52818;0.52818;0.95165;3568.80115;99.92572;199807;2.65104;0.00724
Joshua Sprey;ICPL_t2;3;FinancialServices_2017-12-22;717;7578;4;1;86400000;true;true;4294605;3193;2;1.0;750158;1.0;0;0.52773;0.52773;0.95142;4279.74518;99.93432;199809;2.81107;0.00768
Joshua Sprey;ICPL_t2;3;FinancialServices_2017-12-22;717;7578;5;1;86400000;true;true;3595899;3193;2;1.0;750158;1.0;0;0.52841;0.52841;0.95221;3583.18914;99.92551;199808;2.66914;0.00729
Joshua Sprey;ICPL_t2;4;FinancialServices_2017-10-20;713;7492;1;1;86400000;true;true;3556783;3202;2;1.0;741579;1.0;0.01093;0.98667;0.98681;0.99121;3543.13299;99.92245;202536;2.74775;0.00741
Joshua Sprey;ICPL_t2;4;FinancialServices_2017-10-20;713;7492;2;1;86400000;true;true;3455392;3202;2;1.0;741579;1.0;0.00562;0.98599;0.98607;0.99;3446.04064;99.92575;195976;2.55883;0.00713
Joshua Sprey;ICPL_t2;4;FinancialServices_2017-10-20;713;7492;3;1;86400000;true;true;3566347;3202;2;1.0;741579;1.0;0.01156;0.98865;0.98878;0.99218;3555.26201;99.91952;199798;2.86119;0.00782
Joshua Sprey;ICPL_t2;4;FinancialServices_2017-10-20;713;7492;4;1;86400000;true;true;3456644;3202;2;1.0;741579;1.0;0.01062;0.98806;0.98819;0.99176;3446.82287;99.92479;198151;2.59232;0.00714
Joshua Sprey;ICPL_t2;4;FinancialServices_2017-10-20;713;7492;5;1;86400000;true;true;3551551;3202;2;1.0;741579;1.0;0.00968;0.98764;0.98776;0.99195;3538.4888;99.92725;197078;2.57428;0.00713
Joshua Sprey;ICPL_t2;5;FinancialServices_2018-02-20;760;7552;1;1;86400000;true;true;6659695;3643;2;1.0;879109;1.0;0;0.84801;0.84801;0.96952;6643.29254;99.95109;285534;3.24933;0.00621
Joshua Sprey;ICPL_t2;5;FinancialServices_2018-02-20;760;7552;2;1;86400000;true;true;6320071;3643;2;1.0;879109;1.0;0;0.847;0.847;0.96847;6310.1478;99.94375;286064;3.54916;0.00677
Joshua Sprey;ICPL_t2;5;FinancialServices_2018-02-20;760;7552;3;1;86400000;true;true;6232859;3643;2;1.0;879109;1.0;0;0.8484;0.8484;0.96991;6219.33404;99.94595;284445;3.36186;0.00645
Joshua Sprey;ICPL_t2;5;FinancialServices_2018-02-20;760;7552;4;1;86400000;true;true;6262690;3643;2;1.0;879109;1.0;0;0.8476;0.8476;0.9693;6245.9595;99.9458;287177;3.3856;0.00644
Joshua Sprey;ICPL_t2;5;FinancialServices_2018-02-20;760;7552;5;1;86400000;true;true;6465192;3643;2;1.0;879109;1.0;0;0.84654;0.84654;0.96801;6451.34977;99.94575;285537;3.49982;0.00669
Joshua Sprey;ICPL_t2;6;FinancialServices_2017-05-22;558;5550;1;1;86400000;true;true;816709;403;2;1.0;420352;1.0;0;0.05523;0.05523;0.94872;807.74941;99.84177;57322;1.27811;0.01217
Joshua Sprey;ICPL_t2;6;FinancialServices_2017-05-22;558;5550;2;1;86400000;true;true;816510;403;2;1.0;420352;1.0;0;0.05521;0.05521;0.94872;807.06944;99.84555;57868;1.24648;0.01176
Joshua Sprey;ICPL_t2;6;FinancialServices_2017-05-22;558;5550;3;1;86400000;true;true;945904;403;2;1.0;420352;1.0;0;0.05519;0.05519;0.94864;935.82645;99.85989;57867;1.31119;0.01237
Joshua Sprey;ICPL_t2;6;FinancialServices_2017-05-22;558;5550;4;1;86400000;true;true;945214;403;2;1.0;420352;1.0;0;0.05519;0.05519;0.9483;933.86575;99.87007;57321;1.21336;0.01156
Joshua Sprey;ICPL_t2;6;FinancialServices_2017-05-22;558;5550;5;1;86400000;true;true;834872;403;2;1.0;420352;1.0;0;0.05521;0.05521;0.94863;825.69775;99.88983;56768;0.90964;0.00875
Joshua Sprey;ICPL_t2;7;FinancialServices_2017-09-28;705;7250;1;1;86400000;true;true;3406839;3202;2;1.0;726513;1.0;0;0.12168;0.12168;0.96415;3393.23682;99.91613;196535;2.84607;0.00791
Joshua Sprey;ICPL_t2;7;FinancialServices_2017-09-28;705;7250;2;1;86400000;true;true;3351195;3202;2;1.0;726513;1.0;0;0.12164;0.12164;0.96385;3338.30819;99.92277;197080;2.57821;0.00714
Joshua Sprey;ICPL_t2;7;FinancialServices_2017-09-28;705;7250;3;1;86400000;true;true;3330615;3202;2;1.0;726513;1.0;0;0.12162;0.12162;0.96378;3317.6952;99.9188;193802;2.69387;0.00759
Joshua Sprey;ICPL_t2;7;FinancialServices_2017-09-28;705;7250;4;1;86400000;true;true;3478645;3202;2;1.0;726513;1.0;0;0.12168;0.12168;0.96424;3466.10253;99.92476;197067;2.60806;0.00722
Joshua Sprey;ICPL_t2;7;FinancialServices_2017-09-28;705;7250;5;1;86400000;true;true;3861075;3202;2;1.0;726513;1.0;0;0.12165;0.12165;0.9639;3847.00331;99.9316;198717;2.6312;0.00723
Joshua Sprey;ICPL_t2;8;FinancialServices_2018-05-09;772;8010;1;1;86400000;true;true;6983511;4424;2;1.0;883963;1.0;0;0.67794;0.67794;0.94348;6974.32802;99.92697;442751;5.09357;0.00628
Joshua Sprey;ICPL_t2;8;FinancialServices_2018-05-09;772;8010;2;1;86400000;true;true;7322227;4424;2;1.0;883963;1.0;0;0.67826;0.67826;0.94329;7305.02834;99.92651;440593;5.36822;0.00665
Joshua Sprey;ICPL_t2;8;FinancialServices_2018-05-09;772;8010;3;1;86400000;true;true;6569125;4424;2;1.0;883963;1.0;0;0.6783;0.6783;0.94304;6554.17853;99.92417;443320;4.96997;0.00612
Joshua Sprey;ICPL_t2;8;FinancialServices_2018-05-09;772;8010;4;1;86400000;true;true;6804194;4424;2;1.0;883963;1.0;0;0.67677;0.67677;0.94273;6789.15616;99.92949;442227;4.78684;0.00591
Joshua Sprey;ICPL_t2;8;FinancialServices_2018-05-09;772;8010;5;1;86400000;true;true;6639245;4424;2;1.0;883963;1.0;0;0.67785;0.67785;0.9427;6623.82436;99.92559;439497;4.92886;0.00612
Joshua Sprey;ICPL_t2;9;FinancialServices_2018-01-23;713;7396;1;1;86400000;true;true;3460143;3190;2;1.0;744069;1.0;0;0.52776;0.52776;0.95069;3447.86183;99.925;195438;2.58606;0.00722
Joshua Sprey;ICPL_t2;9;FinancialServices_2018-01-23;713;7396;2;1;86400000;true;true;3573890;3190;2;1.0;744069;1.0;0;0.52801;0.52801;0.95106;3559.71431;99.92321;198716;2.73342;0.00751
Joshua Sprey;ICPL_t2;9;FinancialServices_2018-01-23;713;7396;3;1;86400000;true;true;3403819;3190;2;1.0;744069;1.0;0;0.52766;0.52766;0.95044;3388.96645;99.92377;195442;2.58331;0.00722
Joshua Sprey;ICPL_t2;9;FinancialServices_2018-01-23;713;7396;4;1;86400000;true;true;3366273;3190;2;1.0;744069;1.0;0;0.52866;0.52866;0.95192;3352.53755;99.9226;195442;2.59496;0.00725
Joshua Sprey;ICPL_t2;9;FinancialServices_2018-01-23;713;7396;5;1;86400000;true;true;3418358;3190;2;1.0;744069;1.0;0;0.52828;0.52828;0.95172;3404.50628;99.92114;194351;2.6847;0.00754
