Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Incling_t2;0;FinancialServices_2018-03-26;772;7884;1;1;14400000;true;true;2650737;3795;2;1;855727;1;-1;-1;-1;-1;2629.24289;99.70253;249541;7.82119;0.01711
Joshua Sprey;Incling_t2;0;FinancialServices_2018-03-26;772;7884;2;1;14400000;true;true;2756866;3805;2;1;855727;1;-1;-1;-1;-1;2741.92424;99.72607;245172;7.51104;0.01673
Joshua Sprey;Incling_t2;0;FinancialServices_2018-03-26;772;7884;3;1;14400000;true;true;2560856;3770;2;1;855727;1;-1;-1;-1;-1;2546.71852;99.71193;236980;7.33632;0.0169
Joshua Sprey;Incling_t2;0;FinancialServices_2018-03-26;772;7884;4;1;14400000;true;true;2561707;3783;2;1;855727;1;-1;-1;-1;-1;2548.56828;99.71178;242441;7.34538;0.01654
Joshua Sprey;Incling_t2;0;FinancialServices_2018-03-26;772;7884;5;1;14400000;true;true;2748034;3778;2;1;855727;1;-1;-1;-1;-1;2734.80412;99.71019;248449;7.92571;0.01742
Joshua Sprey;Incling_t2;1;FinancialServices_2017-11-20;712;7579;1;1;14400000;true;true;2092986;3427;2;1;739507;1;0;0.77948;0.77948;0.95105;2076.4443;99.66911;152879;6.87066;0.02454
Joshua Sprey;Incling_t2;1;FinancialServices_2017-11-20;712;7579;2;1;14400000;true;true;1996511;3413;2;1;739507;1;0;0.77004;0.77004;0.951;1980.79785;99.64227;149056;7.08587;0.02596
Joshua Sprey;Incling_t2;1;FinancialServices_2017-11-20;712;7579;3;1;14400000;true;true;2106884;3427;2;1;739507;1;0;0.78894;0.78894;0.95101;2093.15013;99.65593;154517;7.20194;0.02545
Joshua Sprey;Incling_t2;1;FinancialServices_2017-11-20;712;7579;4;1;14400000;true;true;2177041;3425;2;1;739507;1;0;0.78337;0.78337;0.95099;2158.4637;99.66482;156156;7.23471;0.0253
Joshua Sprey;Incling_t2;1;FinancialServices_2017-11-20;712;7579;5;1;14400000;true;true;2052514;3420;2;1;739507;1;0;0.78308;0.78308;0.95105;2038.80746;99.66773;151240;6.77438;0.02446
Joshua Sprey;Incling_t2;2;FinancialServices_2018-04-23;775;7909;1;1;14400000;true;true;3639914;4899;2;1;879498;1;0;0.66161;0.66161;0.94981;3623.27774;99.71145;329269;10.4548;0.01734
Joshua Sprey;Incling_t2;2;FinancialServices_2018-04-23;775;7909;2;1;14400000;true;true;3910030;4867;2;1;879498;1;0;0.66318;0.66318;0.94977;3898.44511;99.73654;334731;10.27099;0.01676
Joshua Sprey;Incling_t2;2;FinancialServices_2018-04-23;775;7909;3;1;14400000;true;true;3945850;4907;2;1;879498;1;0;0.66054;0.66054;0.9498;3933.55555;99.72413;341284;10.85132;0.01736
Joshua Sprey;Incling_t2;2;FinancialServices_2018-04-23;775;7909;4;1;14400000;true;true;3852939;4878;2;1;879498;1;0;0.66414;0.66414;0.94977;3832.87434;99.73369;326539;10.20723;0.01707
Joshua Sprey;Incling_t2;2;FinancialServices_2018-04-23;775;7909;5;1;14400000;true;true;3920285;4851;2;1;879498;1;0;0.66669;0.66669;0.94979;3898.04173;99.73798;325447;10.21361;0.01714
Joshua Sprey;Incling_t2;3;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;2145788;3425;2;1;750158;1;0;0.50466;0.50466;0.9502;2129.40208;99.6714;155609;6.99713;0.02455
Joshua Sprey;Incling_t2;3;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;2053708;3423;2;1;750158;1;0;0.50928;0.50928;0.95022;2035.92566;99.65971;152878;6.9281;0.02474
Joshua Sprey;Incling_t2;3;FinancialServices_2017-12-22;717;7578;3;1;14400000;true;true;2211578;3414;2;1;750158;1;0;0.50091;0.50091;0.95024;2194.56211;99.67751;156701;7.07726;0.02466
Joshua Sprey;Incling_t2;3;FinancialServices_2017-12-22;717;7578;4;1;14400000;true;true;2160589;3421;2;1;750158;1;0;0.5068;0.5068;0.95016;2149.50757;99.66738;157790;7.14966;0.02474
Joshua Sprey;Incling_t2;3;FinancialServices_2017-12-22;717;7578;5;1;14400000;true;true;2156263;3429;2;1;750158;1;0;0.51326;0.51326;0.9502;2142.02983;99.67902;157794;6.87543;0.02379
Joshua Sprey;Incling_t2;4;FinancialServices_2017-10-20;713;7492;1;1;14400000;true;true;2244496;3441;2;1;741579;1;0.00291;0.98283;0.98288;0.98958;2225.12919;99.69095;154516;6.87674;0.0243
Joshua Sprey;Incling_t2;4;FinancialServices_2017-10-20;713;7492;2;1;14400000;true;true;2074486;3433;2;1;741579;1;0.00408;0.98433;0.9844;0.98958;2053.25298;99.6627;156702;6.92558;0.02413
Joshua Sprey;Incling_t2;4;FinancialServices_2017-10-20;713;7492;3;1;14400000;true;true;2129048;3444;2;1;741579;1;0.00552;0.9789;0.97901;0.98958;2117.99678;99.67417;158886;6.90106;0.02371
Joshua Sprey;Incling_t2;4;FinancialServices_2017-10-20;713;7492;4;1;14400000;true;true;2003170;3449;2;1;741579;1;0.00522;0.97945;0.97955;0.9896;1986.97688;99.66226;154517;6.7109;0.02371
Joshua Sprey;Incling_t2;4;FinancialServices_2017-10-20;713;7492;5;1;14400000;true;true;2184010;3448;2;1;741579;1;0.00348;0.98206;0.98213;0.98957;2168.70885;99.68152;157247;6.90685;0.02398
Joshua Sprey;Incling_t2;5;FinancialServices_2018-02-20;760;7552;1;1;14400000;true;true;15296835;4544;2;1;879109;1;0;0.722;0.722;0.9583;15283.10758;99.6841;1105312;48.2791;0.02385
Joshua Sprey;Incling_t2;5;FinancialServices_2018-02-20;760;7552;2;1;14400000;true;true;15101544;4535;2;1;879109;1;0;0.72188;0.72188;0.95814;15081.91813;99.67966;1106404;48.31303;0.02385
Joshua Sprey;Incling_t2;5;FinancialServices_2018-02-20;760;7552;3;1;14400000;true;true;15759136;4571;2;1;879109;1;0;0.71851;0.71851;0.95822;15745.49841;99.69056;1112957;48.72313;0.02391
Joshua Sprey;Incling_t2;5;FinancialServices_2018-02-20;760;7552;4;1;14400000;true;true;15556214;4517;2;1;879109;1;0;0.72806;0.72806;0.95822;15544.31596;99.6796;1110206;49.80467;0.0245
Joshua Sprey;Incling_t2;5;FinancialServices_2018-02-20;760;7552;5;1;14400000;true;true;14715344;4549;2;1;879109;1;0;0.72276;0.72276;0.95807;14695.1716;99.67254;1099851;48.12136;0.02389
Joshua Sprey;Incling_t2;6;FinancialServices_2017-05-22;558;5550;1;1;14400000;true;true;45767;411;2;1;420352;1;0;0.04401;0.04401;0.9357;30.67728;99.74002;4356;0.07975;0.00997
Joshua Sprey;Incling_t2;6;FinancialServices_2017-05-22;558;5550;2;1;14400000;true;true;52458;409;2;1;420352;1;0;0.04388;0.04388;0.93573;38.88732;99.80008;4358;0.07774;0.00972
Joshua Sprey;Incling_t2;6;FinancialServices_2017-05-22;558;5550;3;1;14400000;true;true;54869;404;2;1;420352;1;0;0.04298;0.04298;0.93578;40.84909;99.83082;4358;0.06911;0.00864
Joshua Sprey;Incling_t2;6;FinancialServices_2017-05-22;558;5550;4;1;14400000;true;true;43374;408;2;1;420352;1;0;0.04393;0.04393;0.93631;30.86258;99.74764;4358;0.07789;0.00974
Joshua Sprey;Incling_t2;6;FinancialServices_2017-05-22;558;5550;5;1;14400000;true;true;50869;407;2;1;420352;1;0;0.04348;0.04348;0.93556;37.57287;99.79373;4357;0.0775;0.00969
Joshua Sprey;Incling_t2;7;FinancialServices_2017-09-28;705;7250;1;1;14400000;true;true;2022785;3441;2;1;726513;1;0;0.11546;0.11546;0.96255;2007.39289;99.66289;149602;6.76705;0.0247
Joshua Sprey;Incling_t2;7;FinancialServices_2017-09-28;705;7250;2;1;14400000;true;true;2189436;3455;2;1;726513;1;0;0.11443;0.11443;0.96252;2167.14437;99.67452;153425;7.05366;0.0251
Joshua Sprey;Incling_t2;7;FinancialServices_2017-09-28;705;7250;3;1;14400000;true;true;2064971;3429;2;1;726513;1;0;0.11388;0.11388;0.96257;2048.77433;99.65823;150148;7.00209;0.02546
Joshua Sprey;Incling_t2;7;FinancialServices_2017-09-28;705;7250;4;1;14400000;true;true;2016139;3436;2;1;726513;1;0;0.11477;0.11477;0.96257;1995.68677;99.654;149056;6.905;0.02529
Joshua Sprey;Incling_t2;7;FinancialServices_2017-09-28;705;7250;5;1;14400000;true;true;2073935;3414;2;1;726513;1;0;0.11524;0.11524;0.96253;2053.7878;99.6538;152333;7.11031;0.02548
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;1;1;14400000;true;true;3801099;4861;2;1;883963;1;0;0.66252;0.66252;0.94177;3784.41111;99.73584;318347;9.99688;0.01715
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;2;1;14400000;true;true;3940062;4868;2;1;883963;1;0;0.66426;0.66426;0.94178;3924.64045;99.75178;317801;9.74164;0.01674
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;3;1;14400000;true;true;3804454;4874;2;1;883963;1;0;0.65844;0.65844;0.94176;3789.94975;99.72868;323262;10.28283;0.01737
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;4;1;14400000;true;true;3868179;4886;2;1;883963;1;0;0.65823;0.65823;0.94184;3856.28554;99.73805;317779;10.1017;0.01736
Joshua Sprey;Incling_t2;8;FinancialServices_2018-05-09;772;8010;5;1;14400000;true;true;3877090;4842;2;1;883963;1;0;0.65993;0.65993;0.94182;3860.73278;99.73473;318893;10.24119;0.01754
Joshua Sprey;Incling_t2;9;FinancialServices_2018-01-23;713;7396;1;1;14400000;true;true;2106172;3409;2;1;744069;1;0;0.50469;0.50469;0.94947;2094.16333;99.65219;158886;7.28376;0.02503
Joshua Sprey;Incling_t2;9;FinancialServices_2018-01-23;713;7396;2;1;14400000;true;true;2167116;3426;2;1;744069;1;0;0.50787;0.50787;0.94952;2153.90045;99.65038;158886;7.53049;0.02588
Joshua Sprey;Incling_t2;9;FinancialServices_2018-01-23;713;7396;3;1;14400000;true;true;2032260;3408;2;1;744069;1;0;0.50263;0.50263;0.9495;2017.3951;99.65304;154517;6.99947;0.02473
Joshua Sprey;Incling_t2;9;FinancialServices_2018-01-23;713;7396;4;1;14400000;true;true;2203041;3418;2;1;744069;1;0;0.5029;0.5029;0.94953;2187.24291;99.68299;149056;6.93381;0.0254
Joshua Sprey;Incling_t2;9;FinancialServices_2018-01-23;713;7396;5;1;14400000;true;true;2159121;3435;2;1;744069;1;0;0.51404;0.51404;0.9496;2137.5473;99.65794;158340;7.31166;0.02521
