Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2018-03-26;772;7884;1;1;14400000;true;true;115427;3554;2;1;855727;1;-1;-1;-1;-1;68.27589;99.72415;2116;0.18834;0.04709
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2018-03-26;772;7884;2;1;14400000;true;true;107905;3558;2;1;855727;1;-1;-1;-1;-1;67.54687;99.67868;2115;0.21704;0.05426
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2018-03-26;772;7884;3;1;14400000;true;true;106031;3554;2;1;855727;1;-1;-1;-1;-1;72.39058;99.71827;2112;0.20395;0.05099
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2018-03-26;772;7884;4;1;14400000;true;true;105977;3554;2;1;855727;1;-1;-1;-1;-1;66.97594;99.52661;2116;0.31706;0.07926
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2018-03-26;772;7884;5;1;14400000;true;true;104933;3562;2;1;855727;1;-1;-1;-1;-1;70.95549;99.6806;2113;0.22663;0.05666
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-11-20;712;7579;1;1;14400000;true;true;88384;3189;2;1;739507;1;0;0.77101;0.77101;0.95145;60.49957;99.66693;1579;0.20151;0.06717
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-11-20;712;7579;2;1;14400000;true;true;89043;3181;2;1;739507;1;0;0.76587;0.76587;0.95148;66.19663;99.69082;1576;0.20467;0.06822
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-11-20;712;7579;3;1;14400000;true;true;86076;3186;2;1;739507;1;0;0.76968;0.76968;0.95145;64.4556;99.70809;1576;0.18815;0.06272
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-11-20;712;7579;4;1;14400000;true;true;83673;3185;2;1;739507;1;0;0.76911;0.76911;0.95145;59.8431;99.67688;1578;0.19337;0.06446
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-11-20;712;7579;5;1;14400000;true;true;87954;3190;2;1;739507;1;0;0.76834;0.76834;0.95153;63.36223;99.66733;1577;0.21079;0.07026
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-04-23;775;7909;1;1;14400000;true;true;129854;4456;2;1;879498;1;0;0.67756;0.67756;0.95028;115.00274;99.75108;3166;0.28627;0.04771
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-04-23;775;7909;2;1;14400000;true;true;141059;4433;2;1;879498;1;0;0.67937;0.67937;0.95045;121.90564;99.78428;3172;0.26298;0.04383
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-04-23;775;7909;3;1;14400000;true;true;133477;4430;2;1;879498;1;0;0.68087;0.68087;0.95036;109.52142;99.7927;3174;0.22704;0.03784
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-04-23;775;7909;4;1;14400000;true;true;138180;4437;2;1;879498;1;0;0.67954;0.67954;0.95035;121.34669;99.78515;3171;0.26071;0.04345
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-04-23;775;7909;5;1;14400000;true;true;133829;4429;2;1;879498;1;0;0.68191;0.68191;0.95025;113.98636;99.72831;3173;0.30969;0.05161
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2017-12-22;717;7578;1;1;14400000;true;true;84814;3190;2;1;750158;1;0;0.52419;0.52419;0.95075;52.02814;99.64883;1582;0.18271;0.0609
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2017-12-22;717;7578;2;1;14400000;true;true;75406;3186;2;1;750158;1;0;0.52751;0.52751;0.95091;49.13617;99.7673;1578;0.11434;0.03811
