Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;ICPL_t2;0;model00004;16;45;1;1;86400000;true;true;1454;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00879;0;510;0.00879;0.00879
Joshua Sprey;ICPL_t2;0;model00004;16;45;2;1;86400000;true;true;1460;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00663;0;510;0.00663;0.00663
Joshua Sprey;ICPL_t2;0;model00004;16;45;3;1;86400000;true;true;1481;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00484;0;510;0.00484;0.00484
Joshua Sprey;ICPL_t2;0;model00004;16;45;4;1;86400000;true;true;1486;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00531;0;509;0.00531;0.00531
Joshua Sprey;ICPL_t2;0;model00004;16;45;5;1;86400000;true;true;1500;11;2;1.0;242;1.0;-1;-1;-1;-1;0.14378;92.71104;1023;0.01048;0.00524
Joshua Sprey;ICPL_t2;0;model00004;16;45;6;1;86400000;true;true;1477;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00634;0;510;0.00634;0.00634
Joshua Sprey;ICPL_t2;0;model00004;16;45;7;1;86400000;true;true;1469;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00717;0;509;0.00717;0.00717
Joshua Sprey;ICPL_t2;0;model00004;16;45;8;1;86400000;true;true;1465;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00657;0;510;0.00657;0.00657
Joshua Sprey;ICPL_t2;0;model00004;16;45;9;1;86400000;true;true;1478;11;2;1.0;242;1.0;-1;-1;-1;-1;0.13549;91.59696;1023;0.01139;0.00569
Joshua Sprey;ICPL_t2;0;model00004;16;45;10;1;86400000;true;true;1465;11;2;1.0;242;1.0;-1;-1;-1;-1;0.00633;0;510;0.00633;0.00633
Joshua Sprey;ICPL_t2;1;model00008;22;67;1;1;86400000;true;true;1528;13;2;1.0;633;1.0;0;0.7028;0.7028;0.84848;0.17543;92.9772;1022;0.01232;0.00616
