Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Incling_t2;0;model00004;16;45;1;1;86400000;true;true;367;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;2;1;86400000;true;true;337;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;3;1;86400000;true;true;339;13;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;4;1;86400000;true;true;330;13;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;5;1;86400000;true;true;319;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;6;1;86400000;true;true;344;13;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;7;1;86400000;true;true;314;13;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;8;1;86400000;true;true;338;10;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;9;1;86400000;true;true;325;11;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;0;model00004;16;45;10;1;86400000;true;true;300;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;1;1;86400000;true;true;373;14;2;1.0;633;1.0;0;0.67532;0.67532;0.86189;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;2;1;86400000;true;true;353;15;2;1.0;633;1.0;0;0.65758;0.65758;0.85354;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;3;1;86400000;true;true;349;15;2;1.0;633;1.0;0;0.72121;0.72121;0.85227;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;4;1;86400000;true;true;361;14;2;1.0;633;1.0;0;0.71753;0.71753;0.84343;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;5;1;86400000;true;true;337;14;2;1.0;633;1.0;0;0.66883;0.66883;0.8549;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;6;1;86400000;true;true;330;14;2;1.0;633;1.0;0;0.75649;0.75649;0.86364;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;7;1;86400000;true;true;342;15;2;1.0;633;1.0;0;0.68182;0.68182;0.86039;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;8;1;86400000;true;true;376;16;2;1.0;633;1.0;0;0.53125;0.53125;0.84965;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;9;1;86400000;true;true;322;14;2;1.0;633;1.0;0;0.62662;0.62662;0.84727;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;1;model00008;22;67;10;1;86400000;true;true;370;15;2;1.0;633;1.0;0;0.66061;0.66061;0.86195;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;1;1;86400000;true;true;294;12;2;1.0;204;1.0;0;0.59659;0.59659;0.84266;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;2;1;86400000;true;true;316;13;2;1.0;204;1.0;0;0.61497;0.61497;0.84903;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;3;1;86400000;true;true;315;12;2;1.0;204;1.0;0;0.5202;0.5202;0.85354;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;4;1;86400000;true;true;309;12;2;1.0;204;1.0;0;0.58523;0.58523;0.8479;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;5;1;86400000;true;true;309;10;2;1.0;204;1.0;0;0.42677;0.42677;0.85417;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;6;1;86400000;true;true;333;10;2;1.0;204;1.0;0;0.40657;0.40657;0.83333;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;7;1;86400000;true;true;299;12;2;1.0;204;1.0;0;0.54293;0.54293;0.867;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;8;1;86400000;true;true;320;13;2;1.0;204;1.0;0;0.55981;0.55981;0.8558;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;9;1;86400000;true;true;324;13;2;1.0;204;1.0;0;0.65455;0.65455;0.83333;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;2;model00003;15;41;10;1;86400000;true;true;311;11;2;1.0;204;1.0;0;0.43062;0.43062;0.84615;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;model00006;18;52;1;1;86400000;true;true;343;12;2;1.0;398;1.0;0;0.78241;0.78241;0.83333;-1;-1;-1;-1;-1
Joshua Sprey;Incling_t2;3;model00006;18;52;2;1;86400000;true;true;331;15;2;1.0;398;1.0;0;0.71481;0.71481;0.86706;-1;-1;-1;-1;-1
