Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;1;1;86400000;true;true;435;11;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;2;1;86400000;true;true;423;10;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;3;1;86400000;true;true;482;10;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;4;1;86400000;true;true;415;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;5;1;86400000;true;true;407;10;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;6;1;86400000;true;true;426;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;7;1;86400000;true;true;419;11;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;8;1;86400000;true;true;467;13;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;9;1;86400000;true;true;394;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;0;model00004;16;45;10;1;86400000;true;true;429;12;2;1.0;242;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;model00008;22;67;1;1;86400000;true;true;512;14;2;1.0;633;1.0;0;0.66558;0.66558;0.85636;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;model00008;22;67;2;1;86400000;true;true;515;12;2;1.0;633;1.0;0;0.67045;0.67045;0.84504;-1;-1;-1;-1;-1
