Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;1;1;600000;true;true;171154;36;2;1;638857;1;-1;-1;-1;-1;166.38648;98.84339;62556;1.92444;0.1132
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;2;1;600000;true;true;169830;36;2;1;638857;1;-1;-1;-1;-1;165.61802;98.8733;62555;1.86602;0.10977
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;3;1;600000;true;true;170201;36;2;1;638857;1;-1;-1;-1;-1;165.81567;98.86536;62798;1.88142;0.11067
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;4;1;600000;true;true;177024;36;2;1;638857;1;-1;-1;-1;-1;172.58214;98.91266;62557;1.87655;0.11039
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;5;1;600000;true;true;171494;36;2;1;638857;1;-1;-1;-1;-1;166.97258;98.8014;62796;2.00134;0.11773
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;6;1;600000;true;true;176729;36;2;1;638857;1;-1;-1;-1;-1;172.07007;98.86185;62557;1.95841;0.1152
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;7;1;600000;true;true;170885;36;2;1;638857;1;-1;-1;-1;-1;166.62571;98.8568;62798;1.90487;0.11205
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;8;1;600000;true;true;164754;36;2;1;638857;1;-1;-1;-1;-1;160.40613;98.81485;62796;1.90105;0.11183
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;9;1;600000;true;true;169583;36;2;1;638857;1;-1;-1;-1;-1;165.3055;98.88033;62553;1.85088;0.10888
Joshua Sprey;Chvatal_t2;0;BusyBox_2009-02-01_00-40-45;575;1764;10;1;600000;true;true;173363;36;2;1;638857;1;-1;-1;-1;-1;169.15323;98.81547;62796;2.00367;0.11786
