Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;FinancialServices_2019-02-01;790;6468;1;1;14400000;true;true;5324234;2837;2;1;913505;1;-1;-1;-1;-1;-1;99.61447;1343929;20.47381;0.02359
Joshua Sprey;Chvatal_t2;1;FinancialServices_2018-07-03;815;7388;1;1;14400000;true;true;6310569;3558;2;1;971174;1;0;0.76413;0.76413;0.96079;-1;99.64875;1722900;22.1039;0.01884
Joshua Sprey;Chvatal_t2;2;FinancialServices_2018-11-27;787;6477;1;1;14400000;true;true;4767987;2877;2;1;913488;1;0;0.65636;0.65636;0.97515;-1;99.58456;1400262;19.74721;0.02137
Joshua Sprey;Chvatal_t2;3;FinancialServices_2018-08-15;823;7355;1;1;14400000;true;true;6274043;3553;2;1;990472;1;0;0.78984;0.78984;0.9784;-1;99.63936;1801501;22.57852;0.01863
Joshua Sprey;Chvatal_t2;4;FinancialServices_2018-12-14;786;6447;1;1;14400000;true;true;4911596;2835;2;1;904052;1;0;0.63447;0.63447;0.96301;-1;99.59775;1382124;19.69814;0.02169
Joshua Sprey;Chvatal_t2;5;FinancialServices_2018-06-26;771;7233;1;1;14400000;true;true;6956579;4411;2;1;879137;1;0;0.6161;0.6161;0.96071;-1;99.60368;1772311;27.50429;0.02313
Joshua Sprey;Chvatal_t2;6;FinancialServices_2019-01-24;790;6468;1;1;14400000;true;true;5063867;2830;2;1;913505;1;0;0.44574;0.44574;0.96084;-1;99.60806;1349502;19.77758;0.02237
Joshua Sprey;Chvatal_t2;7;FinancialServices_2018-10-15;785;6440;1;1;14400000;true;true;4786294;3284;2;1;904672;1;0;0.83602;0.83602;0.97308;-1;99.55073;1436346;21.45556;0.02268
Joshua Sprey;Chvatal_t2;8;FinancialServices_2018-09-24;823;7179;1;1;14400000;true;true;6997988;3727;2;1;990800;1;0;0.86978;0.86978;0.98898;-1;99.66935;1828467;23.10403;0.01885
Joshua Sprey;Chvatal_t2;9;FinancialServices_2019-03-19;795;6495;1;1;14400000;true;true;5147002;2845;2;1;926497;1;0;0.59102;0.59102;0.96571;-1;99.59369;1431552;20.85534;0.02209
Joshua Sprey;ICPL_t2;0;FinancialServices_2019-02-01;790;6468;1;1;14400000;true;true;1756312;2837;2;1;913505;1;-1;-1;-1;-1;-1;99.86499;477792;2.36261;0.00673
Joshua Sprey;ICPL_t2;1;FinancialServices_2018-07-03;815;7388;1;1;14400000;true;true;2432329;3549;2;1;971174;1;0;0.76602;0.76602;0.96077;-1;99.85943;584171;3.40914;0.00784
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-11-27;787;6477;1;1;14400000;true;true;1664543;2874;2;1;913488;1;0;0.65774;0.65774;0.9751;-1;99.84887;500729;2.50634;0.00672
Joshua Sprey;ICPL_t2;3;FinancialServices_2018-08-15;823;7355;1;1;14400000;true;true;2328229;3556;2;1;990472;1;0;0.78846;0.78846;0.97839;-1;99.86217;591180;3.20063;0.00726
Joshua Sprey;ICPL_t2;4;FinancialServices_2018-12-14;786;6447;1;1;14400000;true;true;1690866;2836;2;1;904052;1;0;0.63383;0.63383;0.96295;-1;99.86114;444828;2.33949;0.00705
Joshua Sprey;ICPL_t2;5;FinancialServices_2018-06-26;771;7233;1;1;14400000;true;true;3163184;4409;2;1;879137;1;0;0.61656;0.61656;0.96072;-1;99.86733;885335;4.18688;0.00638
Joshua Sprey;ICPL_t2;6;FinancialServices_2019-01-24;790;6468;1;1;14400000;true;true;1716716;2836;2;1;913505;1;0;0.44721;0.44721;0.96083;-1;99.86367;459698;2.33178;0.0068
Joshua Sprey;ICPL_t2;7;FinancialServices_2018-10-15;785;6440;1;1;14400000;true;true;1764104;3284;2;1;904672;1;0;0.83773;0.83773;0.9731;-1;99.85413;486598;2.56391;0.00706
Joshua Sprey;ICPL_t2;8;FinancialServices_2018-09-24;823;7179;1;1;14400000;true;true;2429843;3736;2;1;990800;1;0;0.86787;0.86787;0.989;-1;99.84799;620971;3.68217;0.00795
Joshua Sprey;ICPL_t2;9;FinancialServices_2019-03-19;795;6495;1;1;14400000;true;true;1721635;2847;2;1;926497;1;0;0.58943;0.58943;0.96573;-1;99.84249;492596;2.70168;0.00734
Joshua Sprey;Incling_t2;0;FinancialServices_2019-02-01;790;6468;1;1;14400000;true;true;2251931;3215;2;1;913505;1;-1;-1;-1;-1;-1;99.70375;256162;6.63218;0.03401
Joshua Sprey;Incling_t2;1;FinancialServices_2018-07-03;815;7388;1;1;14400000;true;true;1980336;3771;2;1;971174;1;0;0.81644;0.81644;0.9605;-1;99.63675;225810;7.13262;0.04147
Joshua Sprey;Incling_t2;2;FinancialServices_2018-11-27;787;6477;1;1;14400000;true;true;2451124;3270;2;1;913488;1;0;0.74096;0.74096;0.97537;-1;99.66513;272072;8.13469;0.0393
Joshua Sprey;Incling_t2;3;FinancialServices_2018-08-15;823;7355;1;1;14400000;true;true;2005890;3772;2;1;990472;1;0;0.8449;0.8449;0.97847;-1;99.65215;228484;6.89445;0.03962
Joshua Sprey;Incling_t2;4;FinancialServices_2018-12-14;786;6447;1;1;14400000;true;true;2429752;3228;2;1;904052;1;0;0.71491;0.71491;0.96275;-1;99.67076;272051;7.96755;0.03849
Joshua Sprey;Incling_t2;5;FinancialServices_2018-06-26;771;7233;1;1;14400000;true;true;3028979;4867;2;1;879137;1;0;0.6351;0.6351;0.95897;-1;99.67159;322406;9.90133;0.04041
Joshua Sprey;Incling_t2;6;FinancialServices_2019-01-24;790;6468;1;1;14400000;true;true;2315960;3226;2;1;913505;1;0;0.46583;0.46583;0.95926;-1;99.6555;260164;7.90817;0.03994
Joshua Sprey;Incling_t2;7;FinancialServices_2018-10-15;785;6440;1;1;14400000;true;true;2024574;3528;2;1;904672;1;0;0.88583;0.88583;0.97252;-1;99.66129;224392;6.78777;0.03969
