Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;Chvatal_t2;0;model00004;16;45;1;1;86400000;true;true;1378;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;2;1;86400000;true;true;1311;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;3;1;86400000;true;true;1348;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;4;1;86400000;true;true;1339;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;5;1;86400000;true;true;1370;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;6;1;86400000;true;true;1326;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;7;1;86400000;true;true;1340;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;8;1;86400000;true;true;1319;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;9;1;86400000;true;true;1366;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;0;model00004;16;45;10;1;86400000;true;true;1364;10;2;1;242;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;1;1;86400000;true;true;1449;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;2;1;86400000;true;true;1439;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;3;1;86400000;true;true;1477;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;4;1;86400000;true;true;1465;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;5;1;86400000;true;true;1490;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;6;1;86400000;true;true;1459;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;7;1;86400000;true;true;1449;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;8;1;86400000;true;true;1442;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;9;1;86400000;true;true;1435;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;1;model00008;22;67;10;1;86400000;true;true;1534;14;2;1;633;1;0;0.5974;0.5974;0.83902;-1;-1;-1;-1;-1
Joshua Sprey;Chvatal_t2;2;model00003;15;41;1;1;86400000;true;true;1333;9;2;1;204;1;0;0.34928;0.34928;0.8419;-1;-1;-1;-1;-1
