Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Jingle Bells;B;0;BusyBox_2007-05-20_17-12-43;439;1342;1;1;3600000;true;true;6262;37;2;1;590033;1;-1;-1;-1;-1;4.25658;98.62245;1866;0.05864;0.01955
Jingle Bells;B;1;BusyBox_2007-06-01_14-40-03;439;1342;1;1;3600000;true;true;6262;37;2;1;590033;1;0.91667;0.99962;0.74;0.99962;4.42545;98.77335;1866;0.05428;0.01809
Jingle Bells;B;2;BusyBox_2007-07-01_14-53-06;454;1389;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02778;0.60659;0.74;0.76697;3.8277;98.4296;1867;0.06011;0.02004
Jingle Bells;B;3;BusyBox_2007-08-01_23-30-54;459;1405;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02941;0.78515;0.74;0.84977;4.02288;98.26622;1866;0.06975;0.02325
Jingle Bells;B;4;BusyBox_2007-09-02_14-51-54;469;1440;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02326;0.62865;0.74;0.81826;3.91378;98.13158;1865;0.07313;0.02438
Jingle Bells;B;5;BusyBox_2007-10-01_09-59-01;472;1450;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02326;0.71511;0.74;0.8467;3.93366;98.21895;1866;0.07006;0.02335
Jingle Bells;B;6;BusyBox_2007-11-02_23-31-10;475;1462;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02439;0.80431;0.74;0.85148;3.85066;98.18154;1865;0.07002;0.02334
Jingle Bells;B;7;BusyBox_2007-12-02_01-43-18;482;1480;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02439;0.64192;0.74;0.82648;3.29584;98.03874;1866;0.06464;0.02155
Jingle Bells;B;8;BusyBox_2008-01-02_19-55-04;487;1496;1;1;3600000;true;true;6262;37;2;1;590033;1;0.075;0.77705;0.74;0.86471;4.00449;98.17562;2723;0.07306;0.01826
Jingle Bells;B;9;BusyBox_2008-02-01_01-41-57;493;1512;1;1;3600000;true;true;6262;37;2;1;590033;1;0.025;0.67319;0.74;0.842;4.06327;98.17163;2721;0.07429;0.01857
Jingle Bells;B;10;BusyBox_2008-03-01_09-35-39;546;1675;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02439;0.65996;0.74;0.7824;4.94711;98.2675;3577;0.08571;0.01714
Jingle Bells;B;11;BusyBox_2008-04-01_14-47-57;535;1633;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02439;0.56514;0.74;0.7971;5.05248;98.5348;2720;0.07403;0.01851
Jingle Bells;B;12;BusyBox_2008-05-02_09-19-29;537;1641;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02778;0.79791;0.74;0.86052;4.71588;98.37331;2720;0.07671;0.01918
Jingle Bells;B;13;BusyBox_2008-06-01_10-10-22;543;1673;1;1;3600000;true;true;6262;37;2;1;590033;1;0;0.7466;0.74;0.82256;5.02391;98.54387;2719;0.07315;0.01829
Jingle Bells;B;14;BusyBox_2008-07-01_01-57-36;550;1694;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02632;0.68118;0.74;0.81408;5.13392;98.4985;2719;0.07709;0.01927
Jingle Bells;B;15;BusyBox_2008-08-01_02-15-05;557;1727;1;1;3600000;true;true;6262;37;2;1;590033;1;0.025;0.73496;0.74;0.83542;5.46878;98.55675;3575;0.07893;0.01579
Jingle Bells;B;16;BusyBox_2008-09-01_15-23-04;546;1694;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02439;0.77133;0.74;0.82591;5.3719;98.56087;2718;0.07731;0.01933
Jingle Bells;B;17;BusyBox_2008-10-02_13-30-31;556;1689;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02439;0.61617;0.74;0.81723;4.77921;98.598;2717;0.067;0.01675
Jingle Bells;B;18;BusyBox_2008-11-01_00-10-51;561;1704;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02703;0.76941;0.74;0.82605;5.2564;98.66025;2719;0.07042;0.01761
Jingle Bells;B;19;BusyBox_2008-12-01_12-36-41;572;1742;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02703;0.69753;0.74;0.79483;5.82657;98.66203;3575;0.07796;0.01559
Jingle Bells;B;20;BusyBox_2009-01-01_17-52-09;572;1742;1;1;3600000;true;true;6262;37;2;1;590033;1;1;1;0.74;1;5.67032;98.63261;3575;0.07754;0.01551
Jingle Bells;B;21;BusyBox_2009-02-01_00-40-45;575;1764;1;1;3600000;true;true;6262;37;2;1;590033;1;0.05556;0.74374;0.74;0.85004;5.96135;98.79402;2719;0.07189;0.01797
Jingle Bells;B;22;BusyBox_2009-03-01_04-50-18;574;1764;1;1;3600000;true;true;6262;37;2;1;590033;1;0.02564;0.7159;0.74;0.82479;5.60159;98.4781;3576;0.08525;0.01705
