Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Jingle Bells;C;0;BusyBox_2007-05-20_17-12-43;439;1342;1;1;3600000;true;true;2977;69;2;1;590033;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Jingle Bells;C;1;BusyBox_2007-06-01_14-40-03;439;1342;1;1;3600000;true;true;2977;69;2;1;590033;1;0.01613;0.59284;0.57;0.6349;-1;-1;-1;-1;-1
Jingle Bells;C;2;BusyBox_2007-07-01_14-53-06;454;1389;1;1;3600000;true;true;2977;69;2;1;590033;1;0.01613;0.61081;0.57;0.63181;-1;-1;-1;-1;-1
Jingle Bells;C;3;BusyBox_2007-08-01_23-30-54;459;1405;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.53793;0.57;0.62816;-1;-1;-1;-1;-1
Jingle Bells;C;4;BusyBox_2007-09-02_14-51-54;469;1440;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.5548;0.57;0.62854;-1;-1;-1;-1;-1
Jingle Bells;C;5;BusyBox_2007-10-01_09-59-01;472;1450;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.5929;0.57;0.62847;-1;-1;-1;-1;-1
Jingle Bells;C;6;BusyBox_2007-11-02_23-31-10;475;1462;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.54964;0.57;0.62902;-1;-1;-1;-1;-1
Jingle Bells;C;7;BusyBox_2007-12-02_01-43-18;482;1480;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.50485;0.57;0.62802;-1;-1;-1;-1;-1
Jingle Bells;C;8;BusyBox_2008-01-02_19-55-04;487;1496;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.57548;0.57;0.631;-1;-1;-1;-1;-1
Jingle Bells;C;9;BusyBox_2008-02-01_01-41-57;493;1512;1;1;3600000;true;true;2977;69;2;1;590033;1;0;0.56478;0.57;0.62972;-1;-1;-1;-1;-1
