Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Jingle Bells;Incling_t2;0;BusyBox_2007-05-20_17-12-43;439;1342;1;1;86400000;true;true;2046;60;2;1.0;373624;1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;1;BusyBox_2007-06-01_14-40-03;439;1342;1;1;86400000;true;true;2119;62;2;1.0;373624;1.0;0.01613;0.59284;0.59931;0.6349;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;2;BusyBox_2007-07-01_14-53-06;454;1389;1;1;86400000;true;true;2173;62;2;1.0;399973;1.0;0.01613;0.61081;0.61699;0.63181;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;3;BusyBox_2007-08-01_23-30-54;459;1405;1;1;86400000;true;true;2253;58;2;1.0;407160;1.0;0;0.53793;0.53793;0.62816;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;4;BusyBox_2007-09-02_14-51-54;469;1440;1;1;86400000;true;true;2341;65;2;1.0;425394;1.0;0;0.5548;0.5548;0.62854;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;5;BusyBox_2007-10-01_09-59-01;472;1450;1;1;86400000;true;true;2375;67;2;1.0;432798;1.0;0;0.5929;0.5929;0.62847;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;6;BusyBox_2007-11-02_23-31-10;475;1462;1;1;86400000;true;true;2310;75;2;1.0;438392;1.0;0;0.54964;0.54964;0.62902;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;7;BusyBox_2007-12-02_01-43-18;482;1480;1;1;86400000;true;true;2396;68;2;1.0;451592;1.0;0;0.50485;0.50485;0.62802;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;8;BusyBox_2008-01-02_19-55-04;487;1496;1;1;86400000;true;true;2446;66;2;1.0;459220;1.0;0;0.57548;0.57548;0.631;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;9;BusyBox_2008-02-01_01-41-57;493;1512;1;1;86400000;true;true;2457;72;2;1.0;470796;1.0;0;0.56478;0.56478;0.62972;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;10;BusyBox_2008-03-01_09-35-39;546;1675;1;1;86400000;true;true;3250;65;2;1.0;579278;1.0;0;0.49425;0.49425;0.63071;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;11;BusyBox_2008-04-01_14-47-57;535;1633;1;1;86400000;true;true;2800;75;2;1.0;555903;1.0;0;0.52519;0.52519;0.622;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;12;BusyBox_2008-05-02_09-19-29;537;1641;1;1;86400000;true;true;2784;66;2;1.0;560124;1.0;0;0.47736;0.47736;0.62252;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;13;BusyBox_2008-06-01_10-10-22;543;1673;1;1;86400000;true;true;2850;65;2;1.0;572865;1.0;0;0.5834;0.5834;0.6238;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;14;BusyBox_2008-07-01_01-57-36;550;1694;1;1;86400000;true;true;3078;70;2;1.0;585777;1.0;0;0.56938;0.56938;0.62762;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;15;BusyBox_2008-08-01_02-15-05;557;1727;1;1;86400000;true;true;3104;72;2;1.0;600941;1.0;0;0.59528;0.59528;0.62581;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;16;BusyBox_2008-09-01_15-23-04;546;1694;1;1;86400000;true;true;2939;65;2;1.0;577080;1.0;0;0.49903;0.49903;0.62748;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;17;BusyBox_2008-10-02_13-30-31;556;1689;1;1;86400000;true;true;2893;65;2;1.0;594455;1.0;0;0.60186;0.60186;0.62765;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;18;BusyBox_2008-11-01_00-10-51;561;1704;1;1;86400000;true;true;2913;70;2;1.0;605407;1.0;0;0.56748;0.56748;0.62545;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;19;BusyBox_2008-12-01_12-36-41;572;1742;1;1;86400000;true;true;3165;73;2;1.0;629860;1.0;0;0.57998;0.57998;0.62297;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;20;BusyBox_2009-01-01_17-52-09;572;1742;1;1;86400000;true;true;3099;73;2;1.0;629860;1.0;1;1;1;1;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;21;BusyBox_2009-02-01_00-40-45;575;1764;1;1;86400000;true;true;3301;71;2;1.0;638857;1.0;0;0.57338;0.57338;0.62459;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;22;BusyBox_2009-03-01_04-50-18;574;1764;1;1;86400000;true;true;3178;65;2;1.0;636594;1.0;0;0.50877;0.50877;0.62275;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;23;BusyBox_2009-04-01_11-24-04;575;1766;1;1;86400000;true;true;3125;73;2;1.0;638856;1.0;0;0.54263;0.54263;0.62367;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;24;BusyBox_2009-05-01_03-00-04;580;1781;1;1;86400000;true;true;3205;78;2;1.0;650213;1.0;0;0.5667;0.5667;0.62238;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;25;BusyBox_2009-06-01_11-26-30;583;1796;1;1;86400000;true;true;3222;71;2;1.0;657060;1.0;0;0.49947;0.49947;0.62376;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;26;BusyBox_2009-07-02_12-04-50;585;1808;1;1;86400000;true;true;3161;68;2;1.0;661641;1.0;0;0.55309;0.55309;0.62317;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;27;BusyBox_2009-08-01_06-53-03;594;1837;1;1;86400000;true;true;3488;71;2;1.0;682494;1.0;0;0.58114;0.58114;0.62607;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;28;BusyBox_2009-09-02_11-49-25;596;1842;1;1;86400000;true;true;3406;72;2;1.0;687175;1.0;0;0.60027;0.60027;0.62541;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;29;BusyBox_2009-10-02_01-10-32;599;1851;1;1;86400000;true;true;3393;72;2;1.0;694227;1.0;0;0.60701;0.60701;0.62512;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;30;BusyBox_2009-11-01_04-01-30;602;1862;1;1;86400000;true;true;3394;75;2;1.0;701315;1.0;0;0.57931;0.57931;0.62483;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;31;BusyBox_2009-12-01_02-32-01;608;1884;1;1;86400000;true;true;3521;75;2;1.0;715584;1.0;0;0.59603;0.59603;0.62151;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;32;BusyBox_2010-01-01_16-45-43;608;1884;1;1;86400000;true;true;3398;69;2;1.0;715584;1.0;0;0.51281;0.51281;0.62257;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;33;BusyBox_2010-02-01_04-55-30;619;1918;1;1;86400000;true;true;3587;73;2;1.0;742142;1.0;0;0.57167;0.57167;0.62236;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;34;BusyBox_2010-03-02_15-02-45;622;1926;1;1;86400000;true;true;3602;68;2;1.0;749474;1.0;0;0.52974;0.52974;0.62341;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;35;BusyBox_2010-04-01_15-09-44;628;1948;1;1;86400000;true;true;4049;71;2;1.0;764224;1.0;0;0.58011;0.58011;0.62084;-1;-1;-1;-1;-1
Jingle Bells;Incling_t2;36;BusyBox_2010-05-02_14-17-07;631;1944;1;1;86400000;true;true;3807;74;2;1.0;771658;1.0;0;0.58554;0.58554;0.62088;0.01725;0;499;0.01725;0.01725
