Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;1;1;86400000;true;true;1786779;3197;2;1.0;741579;1.0;-1;-1;-1;-1;1782.02648;99.83086;341529;3.01415;0.00683
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;2;1;86400000;true;true;1779583;3197;2;1.0;741579;1.0;-1;-1;-1;-1;1775.81373;99.86039;517506;2.47929;0.00721
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;3;1;86400000;true;true;1783769;3197;2;1.0;741579;1.0;-1;-1;-1;-1;1782.37182;99.8211;338256;3.18859;0.00756
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;4;1;86400000;true;true;1767819;3197;2;1.0;741579;1.0;-1;-1;-1;-1;1762.92015;99.82239;335135;3.13119;0.00633
Joshua Sprey;ICPL_t2;0;FinancialServices_2017-10-20;713;7492;5;1;86400000;true;true;1760609;3197;2;1.0;741579;1.0;-1;-1;-1;-1;1755.70658;99.82905;328334;3.00146;0.00619
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;1;1;86400000;true;true;494157;403;2;1.0;420352;1.0;0;0.06402;0.06402;0.95898;491.62706;99.78126;79627;1.07537;0.00935
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;2;1;86400000;true;true;460640;403;2;1.0;420352;1.0;0;0.06398;0.06398;0.95928;457.97418;99.78517;91086;0.98388;0.01144
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;3;1;86400000;true;true;455284;403;2;1.0;420352;1.0;0;0.06402;0.06402;0.95926;452.53254;99.78853;82925;0.95696;0.01259
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;4;1;86400000;true;true;462505;403;2;1.0;420352;1.0;0;0.06401;0.06401;0.95929;459.83699;99.77861;85182;1.01805;0.01322
Joshua Sprey;ICPL_t2;1;FinancialServices_2017-05-22;558;5550;5;1;86400000;true;true;433388;403;2;1.0;420352;1.0;0;0.06399;0.06399;0.9589;430.68795;99.77928;87270;0.95059;0.01118
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-02-20;760;7552;1;1;86400000;true;true;2620530;3640;2;1.0;879109;1.0;0;0.10598;0.10598;0.94872;2618.45362;99.83811;447839;4.23912;0.0064
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-02-20;760;7552;2;1;86400000;true;true;2607402;3640;2;1.0;879109;1.0;0;0.10598;0.10598;0.94871;2601.85831;99.84189;469224;4.11373;0.00644
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-02-20;760;7552;3;1;86400000;true;true;2579199;3640;2;1.0;879109;1.0;0;0.10597;0.10597;0.94863;2574.80258;99.82945;462355;4.39132;0.00642
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-02-20;760;7552;4;1;86400000;true;true;2622362;3640;2;1.0;879109;1.0;0;0.10595;0.10595;0.94829;2616.94492;99.82956;461423;4.46036;0.00654
Joshua Sprey;ICPL_t2;2;FinancialServices_2018-02-20;760;7552;5;1;86400000;true;true;2603144;3640;2;1.0;879109;1.0;0;0.10595;0.10595;0.94862;2597.63685;99.86468;690329;3.51511;0.00737
Joshua Sprey;ICPL_t2;3;FinancialServices_2018-03-26;772;7884;1;1;86400000;true;true;2243996;3555;2;1.0;855727;1.0;0;0.91018;0.91018;0.95935;2238.83784;99.83931;756931;3.59758;0.00672
Joshua Sprey;ICPL_t2;3;FinancialServices_2018-03-26;772;7884;2;1;86400000;true;true;2132867;3555;2;1.0;855727;1.0;0;0.90728;0.90728;0.95725;2128.02301;99.85433;609135;3.0999;0.00733
Joshua Sprey;ICPL_t2;3;FinancialServices_2018-03-26;772;7884;3;1;86400000;true;true;2252645;3555;2;1.0;855727;1.0;0;0.90844;0.90844;0.95773;2246.30465;99.85389;609986;3.28213;0.00825
Joshua Sprey;ICPL_t2;3;FinancialServices_2018-03-26;772;7884;4;1;86400000;true;true;2301771;3555;2;1.0;855727;1.0;0;0.90942;0.90942;0.95883;2295.74787;99.84787;587308;3.4926;0.00826
Joshua Sprey;ICPL_t2;3;FinancialServices_2018-03-26;772;7884;5;1;86400000;true;true;2216934;3555;2;1.0;855727;1.0;0;0.90767;0.90767;0.95732;2215.08937;99.79493;431410;4.54252;0.00771
Joshua Sprey;ICPL_t2;4;FinancialServices_2018-04-23;775;7909;1;1;86400000;true;true;3372462;4440;2;1.0;879498;1.0;0;0.79268;0.79268;0.98975;3365.92961;99.78659;651451;7.18314;0.00746
Joshua Sprey;ICPL_t2;4;FinancialServices_2018-04-23;775;7909;2;1;86400000;true;true;3441517;4440;2;1.0;879498;1.0;0;0.79322;0.79322;0.99007;3434.72808;99.78634;687696;7.3386;0.00722
Joshua Sprey;ICPL_t2;4;FinancialServices_2018-04-23;775;7909;3;1;86400000;true;true;3477991;4440;2;1.0;879498;1.0;0;0.79431;0.79431;0.99117;3470.67622;99.85096;969201;5.17282;0.00734
Joshua Sprey;ICPL_t2;4;FinancialServices_2018-04-23;775;7909;4;1;86400000;true;true;3500839;4440;2;1.0;879498;1.0;0;0.79288;0.79288;0.98999;3494.06935;99.80404;702924;6.84704;0.00691
Joshua Sprey;ICPL_t2;4;FinancialServices_2018-04-23;775;7909;5;1;86400000;true;true;3505311;4440;2;1.0;879498;1.0;0;0.79391;0.79391;0.9911;3498.37957;99.81477;696534;6.48009;0.00657
