Author;AlgorithmID;ModelID;ModelName;Model_Features;Model_Constraints;SystemIteration;AlgorithmIteration;Timeout;InTime;NoError;Time;Size;T-Value;Validity;Valid Conditions;Coverage;ROIC;MSOC;FIMD;ICST;Runtime;Throughput;TotalCreatedBytes;TotalPauseTime;AveragePauseTime
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;1;1;86400000;true;true;51822;3190;2;1.0;741579;1.0;-1;-1;-1;-1;35.01465;99.73587;1479;0.09248;0.03083
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;2;1;86400000;true;true;52879;3190;2;1.0;741579;1.0;-1;-1;-1;-1;36.79175;99.78638;1477;0.07859;0.0262
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;3;1;86400000;true;true;51777;3186;2;1.0;741579;1.0;-1;-1;-1;-1;36.32044;99.701;1479;0.1086;0.0362
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;4;1;86400000;true;true;48865;3191;2;1.0;741579;1.0;-1;-1;-1;-1;32.84235;99.69904;1477;0.09884;0.03295
Joshua Sprey;YASA_t2_m1;0;FinancialServices_2017-10-20;713;7492;5;1;86400000;true;true;67135;3188;2;1.0;741579;1.0;-1;-1;-1;-1;46.4417;99.66509;1478;0.15554;0.05185
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;1;1;86400000;true;true;5732;401;2;1.0;420352;1.0;0;0.06379;0.06379;0.95804;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;2;1;86400000;true;true;7027;399;2;1.0;420352;1.0;0;0.06333;0.06333;0.95802;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;3;1;86400000;true;true;6778;402;2;1.0;420352;1.0;0;0.06397;0.06397;0.95803;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;4;1;86400000;true;true;5919;402;2;1.0;420352;1.0;0;0.06386;0.06386;0.95802;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;1;FinancialServices_2017-05-22;558;5550;5;1;86400000;true;true;5798;400;2;1.0;420352;1.0;0;0.0636;0.0636;0.95803;-1;-1;-1;-1;-1
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-02-20;760;7552;1;1;86400000;true;true;126344;3643;2;1.0;879109;1.0;0;0.1049;0.1049;0.93788;74.95263;99.6113;1926;0.29134;0.09711
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-02-20;760;7552;2;1;86400000;true;true;118202;3640;2;1.0;879109;1.0;0;0.1045;0.1045;0.93792;110.33732;99.77128;2425;0.25236;0.05047
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-02-20;760;7552;3;1;86400000;true;true;131386;3646;2;1.0;879109;1.0;0;0.10509;0.10509;0.93752;123.81811;99.86169;2419;0.17126;0.03425
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-02-20;760;7552;4;1;86400000;true;true;125747;3647;2;1.0;879109;1.0;0;0.10505;0.10505;0.93801;118.12803;99.83334;2424;0.19687;0.03937
Joshua Sprey;YASA_t2_m1;2;FinancialServices_2018-02-20;760;7552;5;1;86400000;true;true;117016;3633;2;1.0;879109;1.0;0;0.10493;0.10493;0.9375;109.30645;99.7629;2428;0.25916;0.05183
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2018-03-26;772;7884;1;1;86400000;true;true;99343;3554;2;1.0;855727;1.0;0;0.89973;0.89973;0.95405;92.44168;99.52427;2405;0.43978;0.08796
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2018-03-26;772;7884;2;1;86400000;true;true;95656;3558;2;1.0;855727;1.0;0;0.90367;0.90367;0.95453;88.66969;99.78972;2435;0.18646;0.03729
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2018-03-26;772;7884;3;1;86400000;true;true;92878;3554;2;1.0;855727;1.0;0;0.89788;0.89788;0.95377;86.63065;99.80835;2418;0.16603;0.03321
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2018-03-26;772;7884;4;1;86400000;true;true;75744;3554;2;1.0;855727;1.0;0;0.89811;0.89811;0.95431;70.20009;99.80618;2427;0.13606;0.02721
Joshua Sprey;YASA_t2_m1;3;FinancialServices_2018-03-26;772;7884;5;1;86400000;true;true;71959;3562;2;1.0;855727;1.0;0;0.90897;0.90897;0.95413;66.00668;99.74455;2424;0.16861;0.03372
Joshua Sprey;YASA_t2_m1;4;FinancialServices_2018-04-23;775;7909;1;1;86400000;true;true;135262;4456;2;1.0;879498;1.0;0;0.78965;0.78965;0.98892;106.75338;99.73986;2883;0.2777;0.06943
Joshua Sprey;YASA_t2_m1;4;FinancialServices_2018-04-23;775;7909;2;1;86400000;true;true;133367;4433;2;1.0;879498;1.0;0;0.79438;0.79438;0.98913;106.59735;99.79085;2884;0.22295;0.05574
Joshua Sprey;YASA_t2_m1;4;FinancialServices_2018-04-23;775;7909;3;1;86400000;true;true;129289;4430;2;1.0;879498;1.0;0;0.79417;0.79417;0.98915;123.58169;99.79792;3380;0.24973;0.03568
Joshua Sprey;YASA_t2_m1;4;FinancialServices_2018-04-23;775;7909;4;1;86400000;true;true;132646;4437;2;1.0;879498;1.0;0;0.79301;0.79301;0.98895;111.62862;99.81507;2955;0.20644;0.03441
Joshua Sprey;YASA_t2_m1;4;FinancialServices_2018-04-23;775;7909;5;1;86400000;true;true;126047;4429;2;1.0;879498;1.0;0;0.79597;0.79597;0.989;104.75012;99.70125;2958;0.31295;0.05216
Joshua Sprey;YASA_t2_m1;5;FinancialServices_2017-11-20;712;7579;1;1;86400000;true;true;81010;3189;2;1.0;739507;1.0;0;0.52369;0.52369;0.95028;57.50268;99.69078;1478;0.17781;0.05927
Joshua Sprey;YASA_t2_m1;5;FinancialServices_2017-11-20;712;7579;2;1;86400000;true;true;80146;3181;2;1.0;739507;1.0;0;0.52591;0.52591;0.95045;56.89627;99.81311;1477;0.10633;0.03544
Joshua Sprey;YASA_t2_m1;5;FinancialServices_2017-11-20;712;7579;3;1;86400000;true;true;76890;3186;2;1.0;739507;1.0;0;0.52786;0.52786;0.95036;53.78928;99.77772;1478;0.11956;0.03985
Joshua Sprey;YASA_t2_m1;5;FinancialServices_2017-11-20;712;7579;4;1;86400000;true;true;73087;3185;2;1.0;739507;1.0;0;0.52623;0.52623;0.95035;52.65727;99.72278;1478;0.14598;0.04866
Joshua Sprey;YASA_t2_m1;5;FinancialServices_2017-11-20;712;7579;5;1;86400000;true;true;75883;3190;2;1.0;739507;1.0;0;0.52906;0.52906;0.95025;52.4461;99.73684;1478;0.13802;0.04601
Joshua Sprey;YASA_t2_m1;6;FinancialServices_2017-09-28;705;7250;1;1;86400000;true;true;74833;3190;2;1.0;726513;1.0;0;0.98274;0.98274;0.98523;55.34879;99.62545;1477;0.20731;0.0691
Joshua Sprey;YASA_t2_m1;6;FinancialServices_2017-09-28;705;7250;2;1;86400000;true;true;71936;3189;2;1.0;726513;1.0;0;0.98079;0.98079;0.9852;50.87109;99.65884;1478;0.17355;0.05785
Joshua Sprey;YASA_t2_m1;6;FinancialServices_2017-09-28;705;7250;3;1;86400000;true;true;74346;3200;2;1.0;726513;1.0;0;0.97915;0.97915;0.98529;52.20742;99.7866;1478;0.11141;0.03714
Joshua Sprey;YASA_t2_m1;6;FinancialServices_2017-09-28;705;7250;4;1;86400000;true;true;71490;3188;2;1.0;726513;1.0;0;0.98228;0.98228;0.98525;52.45514;99.71548;1477;0.14924;0.04975
Joshua Sprey;YASA_t2_m1;6;FinancialServices_2017-09-28;705;7250;5;1;86400000;true;true;72455;3187;2;1.0;726513;1.0;0;0.98114;0.98114;0.98528;52.69881;99.73872;1478;0.13769;0.0459
Joshua Sprey;YASA_t2_m1;7;FinancialServices_2018-01-23;713;7396;1;1;86400000;true;true;73007;3189;2;1.0;744069;1.0;0;0.96887;0.96887;0.97157;52.18304;99.72136;1477;0.1454;0.04847
Joshua Sprey;YASA_t2_m1;7;FinancialServices_2018-01-23;713;7396;2;1;86400000;true;true;84457;3184;2;1.0;744069;1.0;0;0.96631;0.96631;0.97155;56.59033;99.62053;1476;0.21474;0.07158
Joshua Sprey;YASA_t2_m1;7;FinancialServices_2018-01-23;713;7396;3;1;86400000;true;true;81275;3186;2;1.0;744069;1.0;0;0.96096;0.96096;0.9716;56.31949;99.63825;1477;0.20374;0.06791
Joshua Sprey;YASA_t2_m1;7;FinancialServices_2018-01-23;713;7396;4;1;86400000;true;true;82285;3187;2;1.0;744069;1.0;0;0.96874;0.96874;0.97151;58.59525;99.7752;1477;0.13172;0.04391
Joshua Sprey;YASA_t2_m1;7;FinancialServices_2018-01-23;713;7396;5;1;86400000;true;true;80780;3182;2;1.0;744069;1.0;0;0.96635;0.96635;0.97153;57.43298;99.80181;1477;0.11383;0.03794
Joshua Sprey;YASA_t2_m1;8;FinancialServices_2018-05-09;772;8010;1;1;86400000;true;true;138770;4423;2;1.0;883963;1.0;0;0.6831;0.6831;0.95008;132.811;99.86518;3540;0.17905;0.02558
Joshua Sprey;YASA_t2_m1;8;FinancialServices_2018-05-09;772;8010;2;1;86400000;true;true;152661;4418;2;1.0;883963;1.0;0;0.68289;0.68289;0.95018;124.87024;99.84218;2881;0.19708;0.04927
Joshua Sprey;YASA_t2_m1;8;FinancialServices_2018-05-09;772;8010;3;1;86400000;true;true;124627;4417;2;1.0;883963;1.0;0;0.68339;0.68339;0.94992;109.59502;99.81464;2955;0.20314;0.03386
Joshua Sprey;YASA_t2_m1;8;FinancialServices_2018-05-09;772;8010;4;1;86400000;true;true;125756;4433;2;1.0;883963;1.0;0;0.68116;0.68116;0.95;105.59921;99.80031;2958;0.21087;0.03515
Joshua Sprey;YASA_t2_m1;8;FinancialServices_2018-05-09;772;8010;5;1;86400000;true;true;121924;4423;2;1.0;883963;1.0;0;0.68151;0.68151;0.94988;105.12353;99.79765;2957;0.21272;0.03545
