;Author;Algorithm;T-Wise;System Name;System Features;System Constraints;System Iteration;System Interactions;System Timeout;System Memory Throughput;Memory Created Bytes MB;Sample Size;Sample Time;Sample Coverage;Sample Similarity;Sample Memory;ROIC;MSOC;FIMD;ICST;Nom. Sample Size;Nom. Sample Time;Nom. Sample Memory
0;Joshua Sprey;Chvatal_t2;-1;Automotive02_V2;17743;360672;1;-1;86400000;-1.0;-1.0;0;847843;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.9901870023148148;0.0
1;Joshua Sprey;Chvatal_t2;-1;Automotive02_V4;18617;368804;1;-1;86400000;-1.0;-1.0;0;947024;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.9890390740740741;0.0
2;Joshua Sprey;Chvatal_t2;-1;Automotive02_V3;18435;365986;1;-1;86400000;-1.0;-1.0;0;818155;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.990530613425926;0.0
3;Joshua Sprey;Chvatal_t2;-1;Automotive02_V1;14011;251713;1;-1;86400000;-1.0;-1.0;0;923790;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.9893079861111111;0.0
4;Joshua Sprey;Chvatal_t2;2;Automotive01;2514;12789;1;9875403;86400000;99.69393000000001;16657501.0;961;46461039;1;-1.0;16657501.0;-1.0;-1.0;-1.0;-1.0;0.9999026875156386;0.4622564930555556;0.0
5;Joshua Sprey;Chvatal_t2;-1;Linux_2.6.33.3;6468;48732;1;-1;86400000;-1.0;-1.0;0;86400003;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-3.472222220857191e-08;0.0
6;Joshua Sprey;ICPL_t2;-1;Automotive02_V2;17743;360672;1;-1;86400000;-1.0;-1.0;0;8052647;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.9067980671296296;0.0
7;Joshua Sprey;ICPL_t2;-1;Automotive02_V4;18617;368804;1;-1;86400000;-1.0;-1.0;0;29592556;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.6574935648148148;0.0
8;Joshua Sprey;ICPL_t2;-1;Automotive02_V3;18435;365986;1;-1;86400000;-1.0;-1.0;0;6523226;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.924499699074074;0.0
9;Joshua Sprey;ICPL_t2;-1;Automotive02_V1;14011;251713;1;-1;86400000;-1.0;-1.0;0;8140271;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.905783900462963;0.0
10;Joshua Sprey;ICPL_t2;2;Automotive01;2514;12789;1;9875403;86400000;99.51325;435783.0;951;2959528;1;-1.0;435783.0;-1.0;-1.0;-1.0;-1.0;0.9999037001325414;0.9657462037037037;0.9558718768236597
11;Joshua Sprey;ICPL_t2;2;Linux_2.6.33.3;6468;48732;1;72122926;86400000;98.17246999999999;487001.0;509;10173608;1;-1.0;487001.0;-1.0;-1.0;-1.0;-1.0;0.9999929426046857;0.8822499074074074;0.993247625588568
12;Joshua Sprey;Incling_t2;2;Automotive02_V2;17743;360672;1;-1;86400000;99.43624;13058552.0;0;86400017;-1;-1.0;13058552.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.967592593299372e-07;13058553.0
13;Joshua Sprey;Incling_t2;2;Automotive01;2514;12789;1;9875403;86400000;99.81267;253772.0;1136;2114515;1;-1.0;253772.0;-1.0;-1.0;-1.0;-1.0;0.9998849667198392;0.9755264467592593;0.9743026183336518
14;Joshua Sprey;Incling_t2;2;Automotive02_V4;18617;368804;1;-1;86400000;99.37663;13508960.0;0;86400004;-1;-1.0;13508960.0;-1.0;-1.0;-1.0;-1.0;1.0;-4.6296296352110744e-08;13508961.0
15;Joshua Sprey;Incling_t2;2;Automotive02_V3;18435;365986;1;-1;86400000;99.64318;12523716.0;0;86400005;-1;-1.0;12523716.0;-1.0;-1.0;-1.0;-1.0;1.0;-5.7870370273604976e-08;12523717.0
16;Joshua Sprey;Incling_t2;2;Linux_2.6.33.3;6468;48732;1;72122926;86400000;99.91125;122770.0;701;3192851;1;-1.0;122770.0;-1.0;-1.0;-1.0;-1.0;0.9999902804830741;0.9630457060185185;0.9982977673423843
17;Joshua Sprey;Incling_t2;2;Automotive02_V1;14011;251713;1;-1;86400000;99.68616999999999;14438319.0;0;86400004;-1;-1.0;14438319.0;-1.0;-1.0;-1.0;-1.0;1.0;-4.6296296352110744e-08;14438320.0
18;Joshua Sprey;YASA_t2_m1;2;Automotive02_V2;17743;360672;1;-1;86400000;99.36804000000001;3735918.0;0;86400023;-1;-1.0;3735918.0;-1.0;-1.0;-1.0;-1.0;1.0;-2.66203703747081e-07;3735919.0
19;Joshua Sprey;YASA_t2_m1;2;Automotive01;2514;12789;1;9875403;86400000;99.85724;10933.0;1007;245214;1;-1.0;10933.0;-1.0;-1.0;-1.0;-1.0;0.9998980294778856;0.997161875;0.9988929059401424
20;Joshua Sprey;YASA_t2_m1;2;Automotive02_V4;18617;368804;1;-1;86400000;99.3482;3868471.0;0;86400003;-1;-1.0;3868471.0;-1.0;-1.0;-1.0;-1.0;1.0;-3.472222220857191e-08;3868472.0
21;Joshua Sprey;YASA_t2_m1;2;Automotive02_V3;18435;365986;1;-1;86400000;99.3424;3831134.0;0;86400005;-1;-1.0;3831134.0;-1.0;-1.0;-1.0;-1.0;1.0;-5.7870370273604976e-08;3831135.0
22;Joshua Sprey;YASA_t2_m1;2;Linux_2.6.33.3;6468;48732;1;72122926;86400000;99.94636;50610.0;538;1407934;1;-1.0;50610.0;-1.0;-1.0;-1.0;-1.0;0.9999925405134007;0.9837044675925926;0.9992982813814293
23;Joshua Sprey;YASA_t2_m1;2;Automotive02_V1;14011;251713;1;-1;86400000;99.67381;2846903.0;0;86400004;-1;-1.0;2846903.0;-1.0;-1.0;-1.0;-1.0;1.0;-4.6296296352110744e-08;2846904.0
